frame,time_ns,box_x,box_y,box_z,prot_xmin,prot_xmax,prot_ymin,prot_ymax,prot_zmin,prot_zmax,extent_x,extent_y,extent_z,clearance_x,clearance_y,clearance_z,min_clearance,membrane_top_z,membrane_bot_z
61,6.1000000000000005,121.44,121.44,186.71,15.47,109.74,28.33,98.19,-0.73,123.78,94.27,69.86,124.5,27.17,51.58,62.21,27.17,109.59,71.41
62,6.2,121.29,121.29,186.63,15.56,108.69,30.35,99.85,-0.83,122.22,93.14,69.5,123.06,28.15,51.79,63.57,28.15,109.76,71.42
63,6.300000000000001,121.38,121.38,186.62,15.82,109.87,29.78,99.82,0.87,124.55,94.05,70.05,123.67,27.33,51.33,62.95,27.33,109.94,71.56
64,6.4,121.31,121.31,186.83,15.23,109.35,28.49,98.62,-1.27,124.55,94.12,70.13,125.82,27.19,51.18,61.01,27.19,109.95,71.47
65,6.5,121.27,121.27,186.98,15.24,108.88,29.22,98.78,-3.94,125.68,93.63,69.56,129.63,27.63,51.7,57.35,27.63,109.95,71.63
66,6.6000000000000005,121.16,121.16,187.1,15.54,109.79,30.03,98.65,-3.14,125.49,94.25,68.61,128.64,26.9,52.54,58.46,26.9,110.17,71.73
67,6.7,121.03,121.03,187.4,13.92,107.4,28.32,100.57,-0.93,126.23,93.49,72.25,127.15,27.54,48.78,60.25,27.54,110.49,71.67
68,6.800000000000001,121.13,121.13,187.52,14.9,108.1,29.78,98.81,-0.56,124.96,93.2,69.03,125.52,27.93,52.11,62.0,27.93,110.32,71.67
69,6.9,121.0,121.0,187.76,14.22,109.08,28.27,98.06,-2.83,125.9,94.86,69.79,128.74,26.14,51.2,59.02,26.14,110.55,71.71
70,7.0,121.06,121.06,187.91,14.11,110.46,29.02,97.4,1.5,123.49,96.36,68.38,121.99,24.71,52.69,65.92,24.71,110.63,71.95
71,7.1000000000000005,120.91,120.91,187.96,11.95,107.46,27.42,96.98,-1.01,124.21,95.51,69.56,125.21,25.39,51.34,62.75,25.39,110.67,71.84
72,7.2,120.97,120.97,187.76,12.28,108.79,26.63,97.15,-1.95,126.41,96.51,70.52,128.36,24.46,50.45,59.4,24.46,110.57,71.83
73,7.300000000000001,121.02,121.02,187.74,11.41,108.27,27.77,97.41,-2.36,126.77,96.86,69.64,129.13,24.15,51.37,58.61,24.15,110.63,71.81
74,7.4,121.14,121.14,187.53,11.82,107.75,27.88,97.87,-1.27,126.09,95.93,69.99,127.36,25.22,51.16,60.18,25.22,110.4,71.78
75,7.5,120.97,120.97,187.81,10.83,108.6,27.67,97.37,-0.66,125.84,97.76,69.7,126.5,23.21,51.27,61.31,23.21,110.5,71.75
76,7.6000000000000005,120.99,120.99,187.84,9.17,109.77,27.72,98.16,1.85,126.18,100.6,70.44,124.33,20.39,50.55,63.52,20.39,110.6,71.95
77,7.7,121.05,121.05,187.65,11.38,109.02,28.34,98.2,1.31,125.49,97.64,69.86,124.18,23.41,51.19,63.48,23.41,110.34,71.92
78,7.800000000000001,121.11,121.11,187.69,12.19,110.74,28.04,96.12,0.95,125.48,98.54,68.08,124.53,22.57,53.03,63.16,22.57,110.23,71.76
79,7.9,121.11,121.11,187.71,10.43,109.42,27.43,95.54,0.78,123.63,98.98,68.11,122.85,22.13,53.01,64.86,22.13,110.42,71.73
80,8.0,121.04,121.04,187.71,10.8,109.76,27.93,97.07,0.93,125.33,98.96,69.13,124.39,22.08,51.91,63.31,22.08,110.31,71.99
81,8.1,120.96,120.96,187.85,11.32,109.47,25.49,96.35,1.16,125.22,98.15,70.86,124.06,22.81,50.1,63.8,22.81,110.64,72.0
82,8.200000000000001,121.04,121.04,187.88,10.09,107.9,25.93,96.27,-1.65,126.14,97.81,70.34,127.8,23.23,50.69,60.08,23.23,110.4,71.96
83,8.3,120.97,120.97,188.11,11.99,108.07,26.44,96.98,-3.07,126.22,96.08,70.55,129.3,24.89,50.42,58.81,24.89,110.4,72.18
84,8.4,120.92,120.92,188.11,10.23,108.19,27.92,96.92,-1.75,125.54,97.97,69.0,127.29,22.95,51.91,60.82,22.95,110.34,72.02
85,8.5,120.9,120.9,188.2,10.2,107.93,29.36,98.68,-1.76,125.99,97.73,69.33,127.75,23.17,51.57,60.46,23.17,110.55,72.15
86,8.6,120.92,120.92,188.28,11.08,108.45,29.02,99.22,-2.74,125.44,97.37,70.21,128.18,23.55,50.72,60.1,23.55,110.61,72.25
87,8.700000000000001,120.86,120.86,188.37,8.82,109.9,28.22,98.29,-1.39,126.1,101.09,70.07,127.5,19.77,50.79,60.87,19.77,110.77,72.17
88,8.8,120.76,120.76,188.55,9.04,108.65,27.22,98.49,-0.68,126.33,99.61,71.27,127.01,21.15,49.49,61.54,21.15,110.89,72.3
89,8.9,120.81,120.81,188.86,8.98,109.64,29.09,97.07,-1.16,126.58,100.67,67.98,127.75,20.14,52.82,61.11,20.14,111.09,72.45
90,9.0,120.56,120.56,188.86,10.25,108.25,27.41,96.94,-2.99,126.97,98.01,69.53,129.95,22.55,51.02,58.9,22.55,111.05,72.46
91,9.1,120.63,120.63,188.85,8.62,108.28,26.25,98.58,0.43,127.23,99.66,72.33,126.8,20.97,48.3,62.05,20.97,111.12,72.52
92,9.200000000000001,120.64,120.64,189.07,8.6,108.11,27.15,98.39,0.78,124.4,99.51,71.24,123.62,21.12,49.4,65.46,21.12,111.28,72.57
93,9.3,120.55,120.55,188.91,9.44,107.56,26.44,98.81,1.11,126.78,98.12,72.37,125.67,22.43,48.18,63.24,22.43,111.07,72.45
94,9.4,120.8,120.8,188.64,10.0,107.63,24.81,99.06,-0.06,126.11,97.63,74.25,126.17,23.17,46.55,62.47,23.17,111.01,72.27
95,9.5,120.73,120.73,188.8,10.14,109.1,28.08,99.34,-0.16,127.26,98.96,71.25,127.42,21.78,49.48,61.37,21.78,111.1,72.1
96,9.600000000000001,120.89,120.89,188.47,9.7,107.93,24.96,98.6,-0.64,125.86,98.23,73.64,126.5,22.66,47.25,61.97,22.66,110.94,72.05
97,9.700000000000001,120.71,120.71,188.65,9.01,109.54,21.61,98.71,-0.31,126.66,100.54,77.1,126.97,20.17,43.61,61.67,20.17,110.83,72.13
98,9.8,120.64,120.64,188.85,10.27,109.71,24.59,98.24,1.34,127.35,99.44,73.65,126.01,21.2,46.99,62.83,21.2,110.96,72.23
99,9.9,120.66,120.66,188.91,9.16,109.44,21.78,97.95,-0.36,126.78,100.27,76.17,127.13,20.39,44.49,61.78,20.39,111.09,72.26
