frame,time_ns,box_x,box_y,box_z,prot_xmin,prot_xmax,prot_ymin,prot_ymax,prot_zmin,prot_zmax,extent_x,extent_y,extent_z,clearance_x,clearance_y,clearance_z,min_clearance,membrane_top_z,membrane_bot_z
0,0.0,122.56,122.56,182.91,10.0,106.8,28.24,96.43,-10.39,119.07,96.79,68.19,129.46,25.77,54.37,53.45,25.77,107.29,70.27
1,0.1,122.6,122.6,182.83,9.43,109.17,29.73,96.67,-3.64,120.71,99.75,66.94,124.35,22.86,55.67,58.49,22.86,107.28,70.11
2,0.2,122.64,122.64,182.83,9.03,110.0,28.32,96.6,-2.16,120.19,100.98,68.27,122.35,21.66,54.36,60.48,21.66,107.31,70.0
3,0.30000000000000004,122.58,122.58,183.1,8.15,108.48,29.32,96.01,-2.27,120.38,100.33,66.69,122.65,22.25,55.89,60.45,22.25,107.52,70.31
4,0.4,122.52,122.52,183.41,9.31,107.11,28.1,97.27,-0.97,119.91,97.8,69.18,120.88,24.72,53.34,62.53,24.72,107.72,70.24
5,0.5,122.47,122.47,183.43,9.23,107.14,29.3,97.13,-4.52,121.29,97.91,67.83,125.81,24.56,54.64,57.62,24.56,107.86,70.35
6,0.6000000000000001,122.35,122.35,183.8,8.38,107.78,29.3,97.09,-1.05,120.77,99.41,67.79,121.82,22.94,54.56,61.98,22.94,108.03,70.59
7,0.7000000000000001,122.34,122.34,183.92,8.81,107.58,28.5,96.2,1.13,121.01,98.77,67.7,119.88,23.56,54.63,64.04,23.56,108.1,70.82
8,0.8,122.23,122.23,184.06,10.06,107.98,28.08,95.51,-0.77,120.63,97.91,67.43,121.4,24.31,54.8,62.65,24.31,108.27,70.73
9,0.9,122.24,122.24,184.17,9.51,107.76,27.91,96.24,-2.57,120.17,98.24,68.33,122.74,23.99,53.9,61.43,23.99,108.15,70.81
10,1.0,122.25,122.25,184.19,10.01,107.59,26.29,95.18,-0.24,119.83,97.58,68.9,120.07,24.67,53.35,64.11,24.67,108.37,70.74
11,1.1,122.19,122.19,184.35,9.49,108.29,26.68,96.28,0.26,120.27,98.79,69.6,120.01,23.4,52.59,64.34,23.4,108.33,70.84
12,1.2000000000000002,122.06,122.06,184.56,10.4,108.4,27.0,95.62,-0.97,121.82,97.99,68.62,122.79,24.06,53.44,61.76,24.06,108.43,70.77
13,1.3,122.15,122.15,184.42,10.09,109.09,26.98,96.93,0.63,120.99,99.0,69.94,120.36,23.14,52.2,64.05,23.14,108.58,70.71
14,1.4000000000000001,122.06,122.06,184.45,9.9,110.13,26.21,95.72,-0.45,120.94,100.23,69.51,121.38,21.84,52.56,63.07,21.84,108.39,70.56
15,1.5,121.92,121.92,184.74,10.64,109.26,28.13,96.18,-1.73,121.36,98.62,68.06,123.09,23.3,53.86,61.65,23.3,108.75,71.01
16,1.6,122.09,122.09,184.58,11.81,108.55,28.71,97.4,-4.49,120.91,96.75,68.7,125.41,25.35,53.4,59.17,25.35,108.69,70.65
17,1.7000000000000002,121.87,121.87,184.73,10.33,108.77,26.94,96.76,-2.99,121.05,98.44,69.82,124.04,23.43,52.04,60.69,23.43,108.85,70.86
18,1.8,121.9,121.9,185.01,11.12,108.57,26.96,97.33,-4.58,120.3,97.45,70.37,124.89,24.46,51.53,60.12,24.46,108.98,70.94
19,1.9000000000000001,121.97,121.97,185.12,9.68,107.76,27.62,96.66,-2.88,120.98,98.08,69.04,123.86,23.89,52.93,61.26,23.89,109.03,70.97
20,2.0,121.86,121.86,185.12,11.53,108.72,29.54,97.83,-2.28,121.3,97.2,68.28,123.58,24.66,53.57,61.54,24.66,108.93,70.93
21,2.1,121.94,121.94,185.07,10.36,110.07,27.67,96.43,-0.94,121.25,99.71,68.75,122.19,22.22,53.18,62.88,22.22,109.02,70.9
22,2.2,121.87,121.87,185.33,11.27,109.16,28.41,95.83,-3.42,121.19,97.89,67.42,124.61,23.97,54.45,60.72,23.97,109.05,71.03
23,2.3000000000000003,121.77,121.77,185.75,9.68,106.93,26.82,95.79,-5.09,121.38,97.26,68.97,126.47,24.51,52.8,59.28,24.51,109.26,71.08
24,2.4000000000000004,121.55,121.55,186.21,10.53,109.4,27.67,97.47,-1.34,121.71,98.87,69.81,123.04,22.68,51.74,63.17,22.68,109.66,71.3
25,2.5,121.6,121.6,186.1,11.34,108.67,27.77,96.38,-0.2,121.76,97.32,68.61,121.96,24.28,52.99,64.14,24.28,109.55,71.38
26,2.6,121.52,121.52,186.16,11.35,108.84,27.12,95.52,-0.23,122.48,97.48,68.39,122.71,24.04,53.13,63.45,24.04,109.43,71.34
27,2.7,121.49,121.49,186.35,11.67,109.6,27.05,95.12,-2.59,122.61,97.93,68.07,125.2,23.56,53.43,61.15,23.56,109.69,71.38
28,2.8000000000000003,121.51,121.51,186.37,11.99,108.35,27.98,95.37,-4.43,122.12,96.36,67.39,126.55,25.15,54.13,59.82,25.15,109.66,71.36
29,2.9000000000000004,121.38,121.38,186.31,13.71,109.31,27.02,94.3,-2.62,121.89,95.6,67.28,124.51,25.78,54.1,61.8,25.78,109.77,71.38
30,3.0,121.47,121.47,186.26,13.48,109.08,26.58,97.12,-0.88,121.79,95.6,70.53,122.67,25.87,50.94,63.59,25.87,109.72,71.47
31,3.1,121.41,121.41,186.16,12.73,107.77,27.58,97.23,0.14,122.31,95.04,69.65,122.17,26.37,51.76,63.99,26.37,109.66,71.36
32,3.2,121.52,121.52,186.27,11.22,108.84,27.74,95.36,1.28,123.02,97.62,67.61,121.74,23.9,53.91,64.52,23.9,109.63,71.35
33,3.3000000000000003,121.54,121.54,186.22,11.42,107.31,27.12,96.4,-0.82,122.42,95.89,69.28,123.24,25.65,52.26,62.99,25.65,109.76,71.17
34,3.4000000000000004,121.45,121.45,186.35,10.59,109.63,27.6,96.56,-0.47,122.99,99.04,68.96,123.45,22.41,52.49,62.9,22.41,109.71,71.26
35,3.5,121.49,121.49,186.23,11.22,107.67,28.25,96.05,-0.64,123.05,96.45,67.8,123.69,25.03,53.69,62.54,25.03,109.58,71.21
36,3.6,121.49,121.49,186.26,10.9,107.13,27.53,97.11,-0.04,122.76,96.22,69.58,122.8,25.27,51.91,63.45,25.27,109.59,71.47
37,3.7,121.5,121.5,186.39,10.35,107.51,26.73,97.09,2.32,122.06,97.16,70.36,119.74,24.34,51.14,66.65,24.34,109.78,71.45
38,3.8000000000000003,121.47,121.47,186.48,10.29,107.24,27.09,97.75,4.9,123.01,96.95,70.66,118.12,24.52,50.81,68.37,24.52,109.56,71.52
39,3.9000000000000004,121.56,121.56,186.09,10.59,106.85,25.66,96.78,3.39,122.62,96.26,71.12,119.24,25.31,50.44,66.85,25.31,109.58,71.49
40,4.0,121.6,121.6,186.14,10.69,107.34,27.28,97.3,5.25,123.81,96.65,70.02,118.55,24.95,51.58,67.58,24.95,109.48,71.39
41,4.1000000000000005,121.58,121.58,186.15,10.0,107.99,28.56,97.17,1.71,122.24,97.99,68.61,120.53,23.59,52.97,65.62,23.59,109.4,71.2
42,4.2,121.41,121.41,186.35,9.58,107.03,27.64,97.49,1.55,122.05,97.45,69.85,120.5,23.96,51.56,65.86,23.96,109.64,71.45
43,4.3,121.58,121.58,186.05,8.72,107.76,29.11,98.9,7.02,123.71,99.04,69.8,116.7,22.54,51.78,69.35,22.54,109.42,71.28
44,4.4,121.43,121.43,186.46,10.63,107.56,28.81,98.99,5.8,123.94,96.93,70.18,118.14,24.5,51.25,68.31,24.5,109.7,71.36
45,4.5,121.4,121.4,186.48,12.01,108.63,28.23,98.98,4.23,124.57,96.62,70.75,120.33,24.78,50.65,66.15,24.78,109.63,71.43
46,4.6000000000000005,121.61,121.61,186.03,11.41,106.7,29.98,99.0,5.33,123.88,95.29,69.02,118.55,26.32,52.59,67.49,26.32,109.27,71.22
47,4.7,121.5,121.5,186.34,11.61,107.21,29.19,99.21,2.35,123.13,95.6,70.02,120.79,25.91,51.48,65.56,25.91,109.53,71.36
48,4.800000000000001,121.36,121.36,186.46,10.45,106.15,29.69,99.62,2.7,123.69,95.7,69.93,120.99,25.66,51.43,65.47,25.66,109.59,71.37
49,4.9,121.39,121.39,186.86,12.67,109.01,28.52,100.37,1.22,123.3,96.34,71.85,122.08,25.04,49.54,64.78,25.04,109.87,71.45
50,5.0,121.26,121.26,186.88,12.51,107.58,28.5,100.42,2.19,123.13,95.07,71.92,120.95,26.19,49.34,65.93,26.19,110.0,71.53
51,5.1000000000000005,121.22,121.22,186.87,12.59,106.36,27.34,98.69,2.32,124.33,93.77,71.36,122.0,27.45,49.86,64.87,27.45,110.05,71.43
52,5.2,121.29,121.29,186.92,10.66,106.59,26.99,100.43,2.99,124.82,95.93,73.44,121.83,25.35,47.85,65.08,25.35,110.15,71.45
53,5.300000000000001,121.32,121.32,186.68,12.33,108.62,27.23,99.31,1.28,123.88,96.29,72.09,122.6,25.03,49.23,64.08,25.03,109.85,71.38
54,5.4,121.29,121.29,186.78,11.58,109.26,26.23,98.84,1.12,124.01,97.68,72.61,122.9,23.61,48.68,63.88,23.61,109.74,71.5
55,5.5,121.23,121.23,187.0,14.69,108.49,28.12,98.12,0.44,124.6,93.81,70.0,124.16,27.42,51.23,62.84,27.42,109.82,71.53
56,5.6000000000000005,121.24,121.24,186.92,14.47,107.88,29.29,98.96,0.41,124.25,93.41,69.66,123.84,27.83,51.57,63.08,27.83,109.71,71.44
57,5.7,121.43,121.43,186.56,14.47,107.66,28.66,97.97,-1.87,124.94,93.19,69.31,126.81,28.24,52.11,59.75,28.24,109.63,71.19
58,5.800000000000001,121.35,121.35,186.54,14.78,110.28,29.42,98.6,0.55,122.71,95.5,69.18,122.15,25.85,52.17,64.39,25.85,109.67,71.21
59,5.9,121.28,121.28,186.76,14.21,109.74,28.53,99.5,1.77,123.18,95.53,70.97,121.42,25.75,50.3,65.35,25.75,109.79,71.31
60,6.0,121.25,121.25,186.78,15.39,108.7,28.6,97.39,3.11,122.75,93.32,68.79,119.65,27.93,52.45,67.13,27.93,109.75,71.34
