frame,time_ns,total_hbonds,amine_hbonds,hydroxyl_hbonds,indole_nh_hbonds
0,0.0,2,1,0,1
1,0.1,2,1,0,1
2,0.2,2,1,0,1
3,0.30000000000000004,2,1,0,1
4,0.4,2,1,0,1
5,0.5,2,1,0,1
6,0.6000000000000001,2,1,0,1
7,0.7000000000000001,2,1,0,1
8,0.8,2,1,0,1
9,0.9,2,1,0,1
10,1.0,2,1,0,1
11,1.1,2,1,0,1
12,1.2000000000000002,2,1,0,1
13,1.3,2,1,0,1
14,1.4000000000000001,3,2,0,1
15,1.5,2,1,0,1
16,1.6,2,1,0,1
17,1.7000000000000002,2,1,0,1
18,1.8,2,1,0,1
19,1.9000000000000001,2,1,0,1
20,2.0,2,1,0,1
21,2.1,3,2,0,1
22,2.2,2,1,0,1
23,2.3000000000000003,2,1,0,1
24,2.4000000000000004,2,1,0,1
25,2.5,3,2,0,1
26,2.6,2,1,0,1
27,2.7,3,2,0,1
28,2.8000000000000003,3,2,0,1
29,2.9000000000000004,1,1,0,0
30,3.0,3,2,0,1
31,3.1,3,2,0,1
32,3.2,3,2,0,1
33,3.3000000000000003,3,2,0,1
34,3.4000000000000004,3,1,1,1
35,3.5,3,2,0,1
36,3.6,3,2,0,1
37,3.7,4,2,0,2
38,3.8000000000000003,2,1,0,1
39,3.9000000000000004,2,1,0,1
40,4.0,3,2,0,1
41,4.1000000000000005,3,1,0,2
42,4.2,3,2,0,1
43,4.3,4,2,0,2
44,4.4,3,2,0,1
45,4.5,3,2,0,1
46,4.6000000000000005,3,2,0,1
47,4.7,1,1,0,0
48,4.800000000000001,2,1,0,1
49,4.9,2,1,0,1
50,5.0,2,2,0,0
51,5.1000000000000005,3,2,0,1
52,5.2,3,2,0,1
53,5.300000000000001,1,1,0,0
54,5.4,3,2,0,1
55,5.5,2,1,0,1
56,5.6000000000000005,2,1,0,1
57,5.7,2,1,0,1
58,5.800000000000001,1,1,0,0
59,5.9,1,1,0,0
60,6.0,3,2,0,1
61,6.1000000000000005,2,2,0,0
62,6.2,2,1,0,1
63,6.300000000000001,2,1,0,1
64,6.4,2,2,0,0
65,6.5,2,1,0,1
66,6.6000000000000005,3,2,0,1
67,6.7,3,2,1,0
68,6.800000000000001,2,2,0,0
69,6.9,3,2,0,1
70,7.0,2,1,0,1
71,7.1000000000000005,3,2,1,0
72,7.2,2,1,0,1
73,7.300000000000001,2,1,0,1
74,7.4,2,1,0,1
75,7.5,3,2,0,1
76,7.6000000000000005,3,2,0,1
77,7.7,3,2,0,1
78,7.800000000000001,3,2,0,1
79,7.9,2,1,0,1
80,8.0,3,2,0,1
81,8.1,2,2,0,0
82,8.200000000000001,3,2,0,1
83,8.3,3,2,0,1
84,8.4,1,1,0,0
85,8.5,2,1,0,1
86,8.6,1,1,0,0
87,8.700000000000001,1,1,0,0
88,8.8,3,2,0,1
89,8.9,2,1,0,1
90,9.0,2,1,0,1
91,9.1,3,2,0,1
92,9.200000000000001,2,1,0,1
93,9.3,2,2,0,0
94,9.4,2,1,0,1
95,9.5,2,1,0,1
96,9.600000000000001,1,1,0,0
97,9.700000000000001,3,2,0,1
98,9.8,2,1,0,1
99,9.9,2,1,0,1
