lipid,chain,carbon,n_h,scd_all,scd_upper,scd_lower
POPC,sn-1 (palmitoyl 16:0),2,2,0.2483,0.2316,0.2762
POPC,sn-1 (palmitoyl 16:0),3,2,0.2519,0.2291,0.29
POPC,sn-1 (palmitoyl 16:0),4,2,0.2921,0.2694,0.3299
POPC,sn-1 (palmitoyl 16:0),5,2,0.3086,0.2794,0.3571
POPC,sn-1 (palmitoyl 16:0),6,2,0.3245,0.2972,0.3699
POPC,sn-1 (palmitoyl 16:0),7,2,0.3182,0.2866,0.3709
POPC,sn-1 (palmitoyl 16:0),8,2,0.3123,0.2825,0.362
POPC,sn-1 (palmitoyl 16:0),9,2,0.2934,0.2614,0.3468
POPC,sn-1 (palmitoyl 16:0),10,2,0.2773,0.2483,0.3257
POPC,sn-1 (palmitoyl 16:0),11,2,0.2484,0.2192,0.2969
POPC,sn-1 (palmitoyl 16:0),12,2,0.2286,0.2033,0.2709
POPC,sn-1 (palmitoyl 16:0),13,2,0.1911,0.1666,0.2321
POPC,sn-1 (palmitoyl 16:0),14,2,0.161,0.1396,0.1967
POPC,sn-1 (palmitoyl 16:0),15,2,0.1181,0.1066,0.1371
POPC,sn-1 (palmitoyl 16:0),16,3,0.0352,0.0303,0.0434
POPC,sn-2 (oleoyl 18:1),2,2,0.1268,0.1284,0.1241
POPC,sn-2 (oleoyl 18:1),3,2,0.2521,0.2429,0.2674
POPC,sn-2 (oleoyl 18:1),4,2,0.2795,0.2712,0.2934
POPC,sn-2 (oleoyl 18:1),5,2,0.3035,0.2911,0.324
POPC,sn-2 (oleoyl 18:1),6,2,0.2977,0.2848,0.3193
POPC,sn-2 (oleoyl 18:1),7,2,0.2869,0.2735,0.3092
POPC,sn-2 (oleoyl 18:1),8,2,0.1982,0.1838,0.2222
POPC,sn-2 (oleoyl 18:1),9,1,0.1419,0.1321,0.1583
POPC,sn-2 (oleoyl 18:1),10,1,0.0637,0.0529,0.0816
POPC,sn-2 (oleoyl 18:1),11,2,0.112,0.0993,0.1333
POPC,sn-2 (oleoyl 18:1),12,2,0.1803,0.1611,0.2124
POPC,sn-2 (oleoyl 18:1),13,2,0.1864,0.1618,0.2274
POPC,sn-2 (oleoyl 18:1),14,2,0.1903,0.165,0.2325
POPC,sn-2 (oleoyl 18:1),15,2,0.1707,0.145,0.2136
POPC,sn-2 (oleoyl 18:1),16,2,0.1542,0.1273,0.1992
POPC,sn-2 (oleoyl 18:1),17,2,0.1104,0.0909,0.1429
POPC,sn-2 (oleoyl 18:1),18,3,0.0429,0.0355,0.0552
POPE,sn-1 (palmitoyl 16:0),2,2,0.2539,0.2509,0.2559
POPE,sn-1 (palmitoyl 16:0),3,2,0.2641,0.2478,0.2749
POPE,sn-1 (palmitoyl 16:0),4,2,0.2961,0.2721,0.3121
POPE,sn-1 (palmitoyl 16:0),5,2,0.3159,0.2736,0.3441
POPE,sn-1 (palmitoyl 16:0),6,2,0.3239,0.2795,0.3536
POPE,sn-1 (palmitoyl 16:0),7,2,0.3217,0.2847,0.3464
POPE,sn-1 (palmitoyl 16:0),8,2,0.3177,0.2969,0.3315
POPE,sn-1 (palmitoyl 16:0),9,2,0.3111,0.2944,0.3222
POPE,sn-1 (palmitoyl 16:0),10,2,0.3057,0.2922,0.3146
POPE,sn-1 (palmitoyl 16:0),11,2,0.2752,0.2592,0.2858
POPE,sn-1 (palmitoyl 16:0),12,2,0.2489,0.2377,0.2564
POPE,sn-1 (palmitoyl 16:0),13,2,0.217,0.2022,0.227
POPE,sn-1 (palmitoyl 16:0),14,2,0.1891,0.1808,0.1945
POPE,sn-1 (palmitoyl 16:0),15,2,0.1342,0.1263,0.1395
POPE,sn-1 (palmitoyl 16:0),16,3,0.042,0.0299,0.0501
POPE,sn-2 (oleoyl 18:1),2,2,0.1999,0.1848,0.21
POPE,sn-2 (oleoyl 18:1),3,2,0.2965,0.2859,0.3035
POPE,sn-2 (oleoyl 18:1),4,2,0.2995,0.2562,0.3283
POPE,sn-2 (oleoyl 18:1),5,2,0.3214,0.2813,0.3481
POPE,sn-2 (oleoyl 18:1),6,2,0.301,0.2593,0.3288
POPE,sn-2 (oleoyl 18:1),7,2,0.2871,0.2534,0.3095
POPE,sn-2 (oleoyl 18:1),8,2,0.1767,0.1509,0.1939
POPE,sn-2 (oleoyl 18:1),9,1,0.1173,0.1031,0.1268
POPE,sn-2 (oleoyl 18:1),10,1,0.0739,0.077,0.0719
POPE,sn-2 (oleoyl 18:1),11,2,0.1359,0.1135,0.1509
POPE,sn-2 (oleoyl 18:1),12,2,0.1964,0.1616,0.2197
POPE,sn-2 (oleoyl 18:1),13,2,0.1978,0.1673,0.2181
POPE,sn-2 (oleoyl 18:1),14,2,0.1816,0.1588,0.1968
POPE,sn-2 (oleoyl 18:1),15,2,0.1545,0.1318,0.1696
