lipid,chain,carbon,n_h,scd_all,scd_upper,scd_lower
POPE,sn-2 (oleoyl 18:1),16,2,0.1418,0.122,0.155
POPE,sn-2 (oleoyl 18:1),17,2,0.098,0.0867,0.1055
POPE,sn-2 (oleoyl 18:1),18,3,0.0366,0.0268,0.0431
SDPE,sn-1 (stearoyl 18:0),2,2,0.2658,0.2144,0.2915
SDPE,sn-1 (stearoyl 18:0),3,2,0.2534,0.1986,0.2807
SDPE,sn-1 (stearoyl 18:0),4,2,0.2874,0.2332,0.3145
SDPE,sn-1 (stearoyl 18:0),5,2,0.3041,0.2491,0.3316
SDPE,sn-1 (stearoyl 18:0),6,2,0.3129,0.2604,0.3391
SDPE,sn-1 (stearoyl 18:0),7,2,0.3109,0.2543,0.3393
SDPE,sn-1 (stearoyl 18:0),8,2,0.3054,0.2558,0.3302
SDPE,sn-1 (stearoyl 18:0),9,2,0.288,0.2334,0.3154
SDPE,sn-1 (stearoyl 18:0),10,2,0.2702,0.2226,0.294
SDPE,sn-1 (stearoyl 18:0),11,2,0.2468,0.2017,0.2693
SDPE,sn-1 (stearoyl 18:0),12,2,0.2239,0.1855,0.2431
SDPE,sn-1 (stearoyl 18:0),13,2,0.1969,0.164,0.2134
SDPE,sn-1 (stearoyl 18:0),14,2,0.1737,0.144,0.1886
SDPE,sn-1 (stearoyl 18:0),15,2,0.1409,0.1225,0.1501
SDPE,sn-1 (stearoyl 18:0),16,2,0.1117,0.0951,0.1199
SDPE,sn-1 (stearoyl 18:0),17,2,0.0832,0.069,0.0902
SDPE,sn-1 (stearoyl 18:0),18,3,0.0258,0.0215,0.0279
SDPE,sn-2 (DHA 22:6),2,2,0.0726,0.066,0.0759
SDPE,sn-2 (DHA 22:6),3,2,0.0823,0.0668,0.0901
SDPE,sn-2 (DHA 22:6),4,1,0.0503,0.0304,0.0602
SDPE,sn-2 (DHA 22:6),5,1,0.1359,0.1314,0.1382
SDPE,sn-2 (DHA 22:6),6,2,0.0528,0.0496,0.0544
SDPE,sn-2 (DHA 22:6),7,1,0.0555,0.0535,0.0565
SDPE,sn-2 (DHA 22:6),8,1,0.0923,0.079,0.099
SDPE,sn-2 (DHA 22:6),9,2,0.065,0.0621,0.0665
SDPE,sn-2 (DHA 22:6),10,1,0.0718,0.059,0.0783
SDPE,sn-2 (DHA 22:6),11,1,0.0521,0.0089,0.0738
SDPE,sn-2 (DHA 22:6),12,2,0.0597,0.0418,0.0687
SDPE,sn-2 (DHA 22:6),13,1,0.08,0.0418,0.0991
SDPE,sn-2 (DHA 22:6),14,1,0.0221,0.0125,0.0269
SDPE,sn-2 (DHA 22:6),15,2,0.0506,0.0441,0.0538
SDPE,sn-2 (DHA 22:6),16,1,0.0665,0.0504,0.0746
SDPE,sn-2 (DHA 22:6),17,1,0.0032,0.0095,0.0001
SDPE,sn-2 (DHA 22:6),18,2,0.0406,0.0367,0.0426
SDPE,sn-2 (DHA 22:6),19,1,0.0767,0.0638,0.0832
SDPE,sn-2 (DHA 22:6),20,1,0.0199,0.0232,0.0182
SDPE,sn-2 (DHA 22:6),21,2,0.0121,0.0082,0.0141
SDPE,sn-2 (DHA 22:6),22,3,0.0145,0.0106,0.0165
