Loading parameters
Using platform: HIP

Initial system energy
-2811545.4104888216 kJ/mol

Energy minimization: 5000 steps
-3446064.7854888216 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
57.6%	72000	71.99999999997974	-2864156.9104888216	310.5029204273499	0.935	1:21:37
58.4%	73000	72.99999999998451	-2864688.5354888216	310.00068487112424	0.939	1:19:44
59.2%	74000	73.99999999998929	-2864949.8479888216	309.708966455523	0.943	1:17:54
60.0%	75000	74.99999999999406	-2861596.6604888216	309.5596599390558	0.946	1:16:05
60.8%	76000	75.99999999999883	-2864255.7854888216	310.0728095005172	0.95	1:14:15
61.6%	77000	77.00000000000361	-2863294.7229888216	310.370543470005	0.954	1:12:27
62.4%	78000	78.00000000000838	-2865093.3479888216	309.513661770482	0.957	1:10:42
63.2%	79000	79.00000000001316	-2866900.8479888216	310.08422800238	0.96	1:08:57
64.0%	80000	80.00000000001793	-2865787.4729888216	309.55795798889994	0.964	1:07:15
64.8%	81000	81.00000000002271	-2863481.3479888216	310.25688207931574	0.966	1:05:33
65.6%	82000	82.00000000002748	-2865659.9104888216	309.90541744822644	0.969	1:03:54
66.4%	83000	83.00000000003226	-2863856.0354888216	309.358685760396	0.972	1:02:15
67.2%	84000	84.00000000003703	-2864061.9729888216	309.5455724656933	0.974	1:00:37
68.0%	85000	85.00000000004181	-2863756.4729888216	310.3813224512504	0.976	59:01
68.8%	86000	86.00000000004658	-2863968.6604888216	310.8830644780095	0.978	57:25
69.6%	87000	87.00000000005136	-2859785.2854888216	311.036485269747	0.98	55:50
70.4%	88000	88.00000000005613	-2860380.7854888216	310.55902446824	0.982	54:15
71.2%	89000	89.00000000006091	-2859894.5354888216	310.6283956699889	0.984	52:40
72.0%	90000	90.00000000006568	-2859980.3479888216	310.35960785013356	0.986	51:07
72.8%	91000	91.00000000007046	-2860319.6604888216	311.0566149430716	0.988	49:34
73.6%	92000	92.00000000007523	-2858782.3479888216	310.17373112798344	0.989	48:02
74.4%	93000	93.00000000008001	-2862997.1604888216	310.08037246183756	0.991	46:30
75.2%	94000	94.00000000008478	-2860917.8479888216	310.42511014136915	0.992	45:00
76.0%	95000	95.00000000008956	-2862577.2229888216	310.2923205334204	0.993	43:29
76.8%	96000	96.00000000009433	-2864223.5354888216	310.09495554575597	0.995	41:58
77.6%	97000	97.0000000000991	-2863365.7229888216	310.64998676635054	0.996	40:28
78.4%	98000	98.00000000010388	-2864058.1604888216	310.36099238908497	0.997	38:59
79.2%	99000	99.00000000010866	-2867370.1604888216	309.8883609115361	0.998	37:30
80.0%	100000	100.00000000011343	-2867044.5979888216	310.3409411801107	0.999	36:01
80.8%	101000	101.0000000001182	-2863118.4104888216	309.76248432226294	1	34:32
81.6%	102000	102.00000000012298	-2863423.7229888216	310.94115253269507	1	33:03
82.4%	103000	103.00000000012776	-2861994.0979888216	309.889265490605	1	31:35
83.2%	104000	104.00000000013253	-2865090.8479888216	309.4127341601113	1	30:07
84.0%	105000	105.0000000001373	-2862982.7854888216	310.0483583387775	1	28:39
84.8%	106000	106.00000000014208	-2862561.3479888216	310.3342119233217	1.01	27:11
85.6%	107000	107.00000000014685	-2860763.9729888216	310.23285733033447	1.01	25:44
86.4%	108000	108.00000000015163	-2862705.7229888216	309.6375389899526	1.01	24:17
87.2%	109000	109.0000000001564	-2865016.3479888216	310.1732341526725	1.01	22:50
88.0%	110000	110.00000000016118	-2863129.7229888216	310.4788322960435	1.01	21:23
88.8%	111000	111.00000000016595	-2863114.2229888216	310.7456804588988	1.01	19:56
89.6%	112000	112.00000000017073	-2861604.7854888216	310.49457166099904	1.01	18:30
90.4%	113000	113.0000000001755	-2861795.0354888216	309.7989238369064	1.01	17:04
91.2%	114000	114.00000000018028	-2864170.5354888216	310.12153158767853	1.01	15:37
92.0%	115000	115.00000000018505	-2864592.2229888216	310.15281629301546	1.01	14:12
92.8%	116000	116.00000000018983	-2862614.9104888216	310.48814263903535	1.01	12:46
93.6%	117000	117.0000000001946	-2863766.6604888216	309.8970094018493	1.02	11:20
94.4%	118000	118.00000000019938	-2863261.3479888216	310.0422025794102	1.02	9:54
95.2%	119000	119.00000000020415	-2865949.5979888216	310.3503074601764	1.02	8:29
96.0%	120000	120.00000000020893	-2867480.9729888216	309.8347218878086	1.02	7:04
96.8%	121000	121.0000000002137	-2864743.4729888216	309.6414986556558	1.02	5:39
97.6%	122000	122.00000000021848	-2864195.4729888216	310.4354573427563	1.02	4:14
98.4%	123000	123.00000000022325	-2862249.5979888216	310.09183773830944	1.02	2:49
99.2%	124000	124.00000000022803	-2864164.2229888216	309.8803335655055	1.02	1:24
100.0%	125000	125.0000000002328	-2864192.0354888216	310.3230763647085	1.02	0:00
