Loading parameters
Using platform: HIP

Initial system energy
-2811545.4104888216 kJ/mol

Energy minimization: 5000 steps
-3446064.7854888216 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-2996350.9104888216	270.45755287638644	0	--
1.6%	2000	1.9999999999998905	-2919058.5979888216	292.496491840387	1.51	1:57:28
2.4%	3000	2.9999999999997806	-2884599.2854888216	301.66952079212024	1.16	2:31:32
3.2%	4000	3.9999999999996705	-2864640.4729888216	306.91149020812526	1.14	2:32:54
4.0%	5000	5.000000000000004	-2856301.0979888216	309.0390340647961	1.1	2:36:28
4.8%	6000	6.000000000000338	-2849713.2229888216	309.66446295476266	1.09	2:37:36
5.6%	7000	7.000000000000672	-2847527.6604888216	310.00546840311347	1.08	2:37:41
6.4%	8000	8.000000000001005	-2850104.7229888216	310.0775289698927	1.09	2:34:26
7.2%	9000	9.000000000000451	-2851633.9104888216	309.9658865612316	1.07	2:35:45
8.0%	10000	9.999999999999897	-2853489.3479888216	310.2419013123065	1.08	2:33:24
8.8%	11000	10.999999999999343	-2850913.4729888216	310.86197486820635	1.1	2:29:05
9.6%	12000	11.999999999998789	-2850790.9729888216	310.8952798195289	1.11	2:27:12
10.4%	13000	12.999999999998234	-2853983.2229888216	310.42577332276403	1.11	2:25:04
11.2%	14000	13.99999999999768	-2853456.4729888216	310.4714805480569	1.12	2:22:32
12.0%	15000	14.999999999997126	-2852906.6604888216	310.78309898337204	1.12	2:20:59
12.8%	16000	15.999999999996572	-2854619.9729888216	310.0904134975759	1.12	2:19:44
13.6%	17000	16.999999999997794	-2857018.4104888216	310.1443870283774	1.14	2:16:21
14.4%	18000	17.999999999999016	-2856145.2854888216	310.1497359208953	1.16	2:12:58
15.2%	19000	19.000000000000238	-2854348.6604888216	310.40552983689014	1.17	2:09:59
16.0%	20000	20.00000000000146	-2856461.4104888216	311.1264199305851	1.19	2:07:21
16.8%	21000	21.000000000002682	-2856500.9729888216	310.58515889362644	1.2	2:04:58
17.6%	22000	22.000000000003904	-2856876.7854888216	309.91236913344244	1.21	2:02:45
18.4%	23000	23.000000000005127	-2857763.7229888216	310.96851774807624	1.22	2:00:37
19.2%	24000	24.00000000000635	-2858540.7854888216	310.2140584901239	1.23	1:58:37
20.0%	25000	25.00000000000757	-2855438.0979888216	311.0293919118506	1.23	1:56:47
20.8%	26000	26.000000000008793	-2855218.1604888216	310.901110619639	1.24	1:55:05
21.6%	27000	27.000000000010015	-2857112.5979888216	310.3266863222326	1.25	1:53:12
22.4%	28000	28.000000000011237	-2859740.0354888216	310.097622380287	1.26	1:51:15
23.2%	29000	29.00000000001246	-2857220.3479888216	310.7424082879207	1.26	1:49:31
24.0%	30000	30.00000000001368	-2858470.6604888216	310.2672757983797	1.27	1:48:02
24.8%	31000	31.000000000014904	-2858833.4104888216	310.5361625422845	1.27	1:46:40
25.6%	32000	32.00000000001612	-2858063.5354888216	310.34295714184515	1.27	1:45:49
26.4%	33000	33.00000000001379	-2859479.3479888216	311.18216432819213	1.26	1:44:47
27.2%	34000	34.00000000001146	-2858351.5979888216	310.2296504710196	1.26	1:44:22
28.0%	35000	35.00000000000913	-2856544.3479888216	310.4067069895702	1.23	1:45:09
28.8%	36000	36.0000000000068	-2857188.7854888216	311.18799899475476	1.21	1:46:19
29.6%	37000	37.00000000000447	-2859384.0354888216	311.10201991863653	1.19	1:46:54
30.4%	38000	38.00000000000214	-2857199.0979888216	310.50965099801715	1.17	1:47:24
31.2%	39000	38.99999999999981	-2859920.5354888216	311.2103247222653	1.15	1:47:37
32.0%	40000	39.99999999999748	-2860398.5979888216	310.8565867354433	1.13	1:47:57
32.8%	41000	40.99999999999515	-2859042.7229888216	310.2062556610707	1.13	1:47:21
33.6%	42000	41.999999999992816	-2860659.9729888216	310.91799500116963	1.12	1:46:46
34.4%	43000	42.999999999990486	-2859304.1604888216	311.27641929539453	1.1	1:47:02
35.2%	44000	43.999999999988155	-2860017.7229888216	310.03532783530216	1.07	1:48:31
36.0%	45000	44.999999999985825	-2861940.6604888216	310.4187573781704	1.04	1:50:25
36.8%	46000	45.999999999983494	-2862941.2229888216	310.81760006376004	1.02	1:51:43
37.6%	47000	46.99999999998116	-2863616.2854888216	310.0615914770392	0.992	1:53:13
38.4%	48000	47.99999999997883	-2861723.7854888216	309.3612621189636	0.976	1:53:36
39.2%	49000	48.9999999999765	-2863368.2229888216	310.107937559553	0.961	1:53:53
40.0%	50000	49.99999999997417	-2861564.7854888216	309.4696612080708	0.947	1:54:03
40.8%	51000	50.99999999997184	-2865197.2229888216	310.5195798489034	0.938	1:53:34
41.6%	52000	51.99999999996951	-2861976.0979888216	310.3811250183075	0.939	1:51:59
42.4%	53000	52.99999999996718	-2859136.1604888216	310.1771094573559	0.934	1:51:02
43.2%	54000	53.99999999996485	-2862394.6604888216	310.8941970641124	0.928	1:50:10
44.0%	55000	54.99999999996252	-2858099.0979888216	310.3450656870405	0.922	1:49:20
44.8%	56000	55.99999999996019	-2860138.7229888216	309.895805639291	0.915	1:48:35
45.6%	57000	56.99999999995786	-2861554.2854888216	309.59583885760134	0.907	1:47:57
46.4%	58000	57.99999999995553	-2860189.5354888216	310.1935816778029	0.899	1:47:17
47.2%	59000	58.9999999999532	-2863849.2854888216	309.402685038175	0.892	1:46:35
48.0%	60000	59.999999999950866	-2861929.5979888216	310.28367223320924	0.886	1:45:36
48.8%	61000	60.999999999948535	-2861522.5979888216	311.1154006866075	0.884	1:44:17
49.6%	62000	61.999999999946205	-2859113.5354888216	310.6959392576102	0.884	1:42:37
50.4%	63000	62.999999999943874	-2861702.5979888216	309.75564551124165	0.889	1:40:27
51.2%	64000	63.999999999941544	-2862081.9729888216	309.371588264026	0.895	1:38:11
52.0%	65000	64.99999999994631	-2862507.5979888216	309.7848377942693	0.9	1:35:57
52.8%	66000	65.99999999995109	-2862195.2229888216	308.79447068070823	0.906	1:33:46
53.6%	67000	66.99999999995586	-2860500.2854888216	310.03307793623645	0.911	1:31:38
54.4%	68000	67.99999999996064	-2860932.8479888216	310.10605160310604	0.917	1:29:32
55.2%	69000	68.99999999996541	-2860466.7854888216	309.63734887651503	0.922	1:27:28
56.0%	70000	69.99999999997019	-2861801.7854888216	309.62847791573034	0.927	1:25:28
56.8%	71000	70.99999999997496	-2863708.7854888216	309.8845227191009	0.931	1:23:31
