Loading parameters
Using platform: HIP

Initial system energy
-2951642.5354888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
278.4%	696000	1016.9999999867568	-2947175.9104888216	310.5479403094865	1.74	11:39:42
278.8%	697000	1018.9999999867096	-2943814.8479888216	309.9595964352169	1.73	11:37:44
279.2%	698000	1020.9999999866623	-2947110.4729888216	310.9474419943809	1.73	11:35:58
279.6%	699000	1022.999999986615	-2946225.5354888216	310.5786255482556	1.73	11:33:57
280.0%	700000	1024.9999999865677	-2948101.1604888216	311.02905439773514	1.73	11:31:37
280.4%	701000	1026.9999999865204	-2946410.8479888216	310.0374418756747	1.73	11:29:43
280.8%	702000	1028.999999986473	-2948111.7229888216	309.64551250141324	1.73	11:28:07
281.2%	703000	1030.9999999864258	-2947116.8479888216	310.4662411809316	1.73	11:26:00
281.6%	704000	1032.9999999863785	-2947727.4729888216	310.6541700369639	1.73	11:22:58
282.0%	705000	1034.9999999863312	-2947860.3479888216	309.94852881134074	1.73	11:21:30
282.4%	706000	1036.999999986284	-2944209.4729888216	309.7301116283565	1.73	11:20:49
282.8%	707000	1038.9999999862366	-2946380.0979888216	310.87245748463084	1.73	11:19:18
283.2%	708000	1040.9999999861893	-2945927.5979888216	309.3677237156021	1.73	11:18:53
283.6%	709000	1042.999999986142	-2947415.3479888216	310.6369484596216	1.73	11:17:53
284.0%	710000	1044.9999999860947	-2946877.7229888216	309.8886334296796	1.74	11:17:29
284.4%	711000	1046.9999999860474	-2949253.9729888216	310.25951779351993	1.74	11:17:45
284.8%	712000	1048.9999999860001	-2947691.5979888216	310.90470713972866	1.75	11:17:47
285.2%	713000	1050.9999999859529	-2947631.0979888216	310.4473854641438	1.75	11:18:20
285.6%	714000	1052.9999999859056	-2949318.9729888216	309.5511643590232	1.75	11:18:34
286.0%	715000	1054.9999999858583	-2948029.9729888216	310.3088696451761	1.76	11:19:16
286.4%	716000	1056.999999985811	-2949704.7854888216	310.9882281356063	1.76	11:19:24
286.8%	717000	1058.9999999857637	-2948322.4729888216	309.72874682126957	1.77	11:20:07
287.2%	718000	1060.9999999857164	-2950905.4729888216	310.2374821936607	1.77	11:20:02
287.6%	719000	1062.999999985669	-2949805.9104888216	309.7946704524815	1.78	11:20:41
288.0%	720000	1064.9999999856218	-2950455.0354888216	309.77387645280527	1.78	11:21:08
288.4%	721000	1066.9999999855745	-2950512.0354888216	309.9483595576332	1.79	11:20:50
288.8%	722000	1068.9999999855272	-2950190.2229888216	310.3244028847318	1.79	11:21:13
289.2%	723000	1070.99999998548	-2949390.9104888216	309.93928472819454	1.79	11:21:05
289.6%	724000	1072.9999999854326	-2953647.6604888216	309.74543805817024	1.8	11:20:47
290.0%	725000	1074.9999999853853	-2948894.5979888216	310.0539040714624	1.8	11:20:00
290.4%	726000	1076.999999985338	-2951561.7854888216	309.4276962813114	1.8	11:19:49
290.8%	727000	1078.9999999852907	-2949717.7229888216	310.2128347738422	1.81	11:19:33
291.2%	728000	1080.9999999852434	-2949567.4104888216	309.46660974707237	1.81	11:19:35
291.6%	729000	1082.9999999851962	-2948076.7854888216	311.1379966677501	1.81	11:18:49
292.0%	730000	1084.9999999851489	-2950163.3479888216	311.2064289696502	1.82	11:18:26
292.4%	731000	1086.9999999851016	-2948294.3479888216	309.55809881362393	1.82	11:17:46
292.8%	732000	1088.9999999850543	-2949082.2229888216	310.64939581301974	1.82	11:17:15
293.2%	733000	1090.999999985007	-2952462.6604888216	309.4348797607083	1.82	11:16:50
293.6%	734000	1092.9999999849597	-2949876.5354888216	310.28617980876925	1.83	11:16:44
294.0%	735000	1094.9999999849124	-2949686.9104888216	310.14776242970134	1.83	11:16:19
294.4%	736000	1096.999999984865	-2948843.2854888216	309.7705698444061	1.83	11:15:37
294.8%	737000	1098.9999999848178	-2946659.8479888216	310.07076472237355	1.83	11:15:02
295.2%	738000	1100.9999999847705	-2948607.6604888216	310.89884509811577	1.84	11:14:41
295.6%	739000	1102.9999999847232	-2947582.9729888216	310.1024592147031	1.84	11:14:15
296.0%	740000	1104.999999984676	-2948466.2229888216	310.18387740897106	1.84	11:13:13
296.4%	741000	1106.9999999846286	-2948379.9104888216	308.6014324809191	1.84	11:12:35
296.8%	742000	1108.9999999845813	-2949042.3479888216	310.02510554499725	1.85	11:12:23
297.2%	743000	1110.999999984534	-2949582.1604888216	309.71569318812107	1.85	11:11:50
297.6%	744000	1112.9999999844867	-2947978.4104888216	309.8815337117509	1.85	11:10:54
298.0%	745000	1114.9999999844395	-2947661.2229888216	310.48901117240234	1.85	11:10:38
298.4%	746000	1116.9999999843922	-2953947.0354888216	309.91617545015214	1.85	11:09:43
298.8%	747000	1118.9999999843449	-2946181.8479888216	310.54310402963796	1.86	11:09:08
299.2%	748000	1120.9999999842976	-2949412.4729888216	309.7653721451111	1.86	11:08:32
299.6%	749000	1122.9999999842503	-2950689.7854888216	309.82713413711014	1.86	11:08:12
300.0%	750000	1124.999999984203	-2951645.1604888216	309.4920159505665	1.86	11:07:48
300.4%	751000	1126.9999999841557	-2949059.7229888216	310.2337142645052	1.87	11:07:06
300.8%	752000	1128.9999999841084	-2950042.3479888216	310.39358380487056	1.87	11:06:29
301.2%	753000	1130.999999984061	-2948375.0354888216	309.884587006046	1.87	11:06:03
301.6%	754000	1132.9999999840138	-2950978.4729888216	311.0212230518126	1.87	11:05:22
302.0%	755000	1134.9999999839665	-2949274.7229888216	310.19898144832376	1.88	11:04:41
302.4%	756000	1136.9999999839192	-2948283.8479888216	309.7889954498764	1.88	11:03:43
302.8%	757000	1138.999999983872	-2949767.3479888216	310.15901081034883	1.88	11:02:56
303.2%	758000	1140.9999999838246	-2949742.2229888216	310.6879291131286	1.88	11:01:55
303.6%	759000	1142.9999999837773	-2948869.7229888216	309.74164343822184	1.88	11:01:12
304.0%	760000	1144.99999998373	-2949147.9729888216	309.53772871171464	1.88	11:00:03
304.4%	761000	1146.9999999836828	-2950039.1604888216	310.1493585132653	1.88	10:58:59
304.8%	762000	1148.9999999836355	-2948944.5979888216	309.9991848266676	1.89	10:58:14
305.2%	763000	1150.9999999835882	-2952553.4104888216	309.9738852557482	1.89	10:57:29
305.6%	764000	1152.9999999835409	-2952299.3479888216	309.3465094388648	1.89	10:56:39
306.0%	765000	1154.9999999834936	-2952944.0979888216	310.46817853130403	1.89	10:55:48
306.4%	766000	1156.9999999834463	-2953718.5979888216	310.7353494503647	1.89	10:55:16
306.8%	767000	1158.999999983399	-2950790.5979888216	309.2224762646503	1.9	10:54:30
307.2%	768000	1160.9999999833517	-2948910.5979888216	310.2199387856666	1.9	10:53:48
307.6%	769000	1162.9999999833044	-2950773.4104888216	311.0661915418772	1.9	10:53:11
308.0%	770000	1164.999999983257	-2950267.4729888216	310.0140691469422	1.9	10:52:42
308.4%	771000	1166.9999999832098	-2949835.2229888216	310.02449894453537	1.9	10:51:33
308.8%	772000	1168.9999999831625	-2950314.7854888216	310.17785252970145	1.9	10:50:46
309.2%	773000	1170.9999999831152	-2949738.7854888216	310.2045265317163	1.91	10:49:55
309.6%	774000	1172.999999983068	-2948623.9729888216	310.15590706881824	1.91	10:48:50
310.0%	775000	1174.9999999830206	-2949393.4729888216	311.02961778835487	1.91	10:48:07
310.4%	776000	1176.9999999829733	-2949899.3479888216	310.3422478935668	1.91	10:47:34
310.8%	777000	1178.999999982926	-2947616.4104888216	310.99760719202266	1.91	10:47:15
311.2%	778000	1180.9999999828788	-2949944.7229888216	310.58731552106883	1.92	10:47:05
311.6%	779000	1182.9999999828315	-2946374.9104888216	310.0059720197897	1.92	10:46:51
312.0%	780000	1184.9999999827842	-2950227.5979888216	310.1729258693497	1.92	10:46:38
312.4%	781000	1186.9999999827369	-2949987.2854888216	310.3056651587141	1.93	10:46:19
312.8%	782000	1188.9999999826896	-2951137.9729888216	309.75048160712714	1.93	10:45:43
313.2%	783000	1190.9999999826423	-2951629.9104888216	309.9893785292097	1.93	10:44:38
313.6%	784000	1192.999999982595	-2949951.6604888216	309.9749419702036	1.93	10:44:04
314.0%	785000	1194.9999999825477	-2950393.4729888216	310.5024501202625	1.93	10:42:48
314.4%	786000	1196.9999999825004	-2948918.2229888216	309.464200528715	1.93	10:42:11
314.8%	787000	1198.9999999824531	-2948175.1604888216	310.54279506109606	1.94	10:41:27
315.2%	788000	1200.9999999824058	-2947062.4104888216	310.41513854615255	1.94	10:40:19
315.6%	789000	1202.9999999823585	-2946361.4729888216	310.8087000112649	1.94	10:39:14
316.0%	790000	1204.9999999823112	-2945163.1604888216	309.2932920203388	1.94	10:37:59
316.4%	791000	1206.999999982264	-2948011.8479888216	310.109668443979	1.94	10:36:53
316.8%	792000	1208.9999999822167	-2947514.2229888216	309.9015055997951	1.94	10:35:41
317.2%	793000	1210.9999999821694	-2949009.3479888216	310.50913056287203	1.94	10:34:23
317.6%	794000	1212.999999982122	-2949568.6604888216	309.8554867398666	1.94	10:33:06
318.0%	795000	1214.9999999820748	-2948862.5979888216	309.9091845455958	1.94	10:31:42
318.4%	796000	1216.9999999820275	-2948138.1604888216	309.4539904527675	1.94	10:30:43
318.8%	797000	1218.9999999819802	-2951510.9729888216	310.2694587573097	1.94	10:29:19
319.2%	798000	1220.999999981933	-2950802.9729888216	310.5064124222695	1.94	10:28:17
319.6%	799000	1222.9999999818856	-2949955.5354888216	310.5063799954726	1.94	10:26:52
320.0%	800000	1224.9999999818383	-2949538.7229888216	309.98503945674474	1.94	10:25:29
320.4%	801000	1226.999999981791	-2947626.7229888216	310.70964010283814	1.95	10:24:10
320.8%	802000	1228.9999999817437	-2947752.0354888216	309.5972399755586	1.95	10:22:53
321.2%	803000	1230.9999999816964	-2949986.0979888216	310.502897216851	1.95	10:21:25
321.6%	804000	1232.9999999816491	-2953618.0354888216	310.8397463757027	1.95	10:20:02
322.0%	805000	1234.9999999816018	-2948175.9104888216	310.4378035821523	1.95	10:18:36
322.4%	806000	1236.9999999815545	-2948679.4104888216	309.17448298420146	1.95	10:16:48
322.8%	807000	1238.9999999815072	-2948763.9729888216	309.69389131504704	1.95	10:15:23
323.2%	808000	1240.99999998146	-2949786.7854888216	310.8971526041609	1.94	10:13:35
323.6%	809000	1242.9999999814127	-2949903.6604888216	310.0944818828441	1.95	10:12:25
324.0%	810000	1244.9999999813654	-2950509.5354888216	310.4294633550908	1.95	10:11:12
324.4%	811000	1246.999999981318	-2953215.1604888216	310.4176964888685	1.95	10:09:58
324.8%	812000	1248.9999999812708	-2951899.5354888216	309.9798158332834	1.95	10:08:26
325.2%	813000	1250.9999999812235	-2950695.4729888216	310.88777607360885	1.95	10:06:53
325.6%	814000	1252.9999999811762	-2946390.5354888216	309.59798491824347	1.95	10:05:25
326.0%	815000	1254.999999981129	-2947383.7229888216	309.7968904300277	1.95	10:04:11
326.4%	816000	1256.9999999810816	-2949138.5979888216	311.0683503247693	1.95	10:02:39
326.8%	817000	1258.9999999810343	-2949690.7854888216	309.78101638490347	1.95	10:01:14
327.2%	818000	1260.999999980987	-2950137.2229888216	309.5583770306679	1.95	9:59:44
327.6%	819000	1262.9999999809397	-2949763.3479888216	309.570390696456	1.95	9:58:16
328.0%	820000	1264.9999999808924	-2950349.4104888216	310.1677597995828	1.95	9:56:43
328.4%	821000	1266.9999999808451	-2951837.5979888216	309.89224539842456	1.95	9:54:32
328.8%	822000	1268.9999999807978	-2948980.1604888216	310.42853304406685	1.95	9:53:03
329.2%	823000	1270.9999999807505	-2949421.7854888216	309.3987389900913	1.94	9:51:17
329.6%	824000	1272.9999999807033	-2948139.9729888216	309.6917913802809	1.94	9:49:47
330.0%	825000	1274.999999980656	-2947817.4729888216	309.68621496998156	1.94	9:48:27
330.4%	826000	1276.9999999806087	-2949473.7854888216	309.10446630051814	1.94	9:46:53
330.8%	827000	1278.9999999805614	-2950555.5354888216	310.14268470091065	1.94	9:45:20
331.2%	828000	1280.999999980514	-2948169.8479888216	310.49411815054833	1.94	9:43:48
331.6%	829000	1282.9999999804668	-2948101.4104888216	310.6101904222752	1.94	9:42:17
332.0%	830000	1284.9999999804195	-2949384.0979888216	311.5718618979601	1.94	9:40:44
332.4%	831000	1286.9999999803722	-2947972.4729888216	309.45639802422266	1.94	9:39:09
332.8%	832000	1288.999999980325	-2945514.9104888216	311.20607115843615	1.94	9:37:38
333.2%	833000	1290.9999999802776	-2950344.7854888216	310.3963273186545	1.94	9:36:04
333.6%	834000	1292.9999999802303	-2949376.8479888216	310.5772136366314	1.94	9:34:49
334.0%	835000	1294.999999980183	-2948408.2229888216	310.2925285148835	1.94	9:33:26
334.4%	836000	1296.9999999801357	-2949824.2854888216	310.1126270331197	1.94	9:31:34
334.8%	837000	1298.9999999800884	-2948530.8479888216	309.1654604183743	1.94	9:30:16
335.2%	838000	1300.9999999800411	-2948893.4729888216	309.9633792183506	1.94	9:28:38
335.6%	839000	1302.9999999799938	-2952621.2229888216	309.89924971510436	1.94	9:27:15
336.0%	840000	1304.9999999799466	-2950628.2229888216	309.4283141020656	1.94	9:25:03
336.4%	841000	1306.9999999798993	-2947428.5979888216	310.36473702798145	1.94	9:23:32
336.8%	842000	1308.999999979852	-2947415.5354888216	310.53943041465374	1.94	9:21:41
337.2%	843000	1310.9999999798047	-2953450.9104888216	309.9985008490974	1.94	9:20:09
337.6%	844000	1312.9999999797574	-2951867.7854888216	309.9873207298109	1.94	9:18:34
338.0%	845000	1314.99999997971	-2948356.0979888216	311.4051841571507	1.94	9:16:57
338.4%	846000	1316.9999999796628	-2949179.5354888216	310.4975411001525	1.94	9:15:04
338.8%	847000	1318.9999999796155	-2947678.0979888216	309.5910241030493	1.94	9:13:29
339.2%	848000	1320.9999999795682	-2949298.4104888216	310.53150490274436	1.94	9:11:40
339.6%	849000	1322.999999979521	-2948386.9729888216	310.2562215151544	1.94	9:10:08
340.0%	850000	1324.9999999794736	-2947945.9104888216	310.14659413352354	1.94	9:08:17
340.4%	851000	1326.9999999794263	-2950797.5354888216	310.03702846570087	1.94	9:06:27
340.8%	852000	1328.999999979379	-2952323.0354888216	310.05573241125916	1.94	9:04:57
341.2%	853000	1330.9999999793317	-2949972.4104888216	310.3013279701202	1.94	9:03:30
341.6%	854000	1332.9999999792844	-2948868.7854888216	310.3045990838134	1.94	9:01:50
342.0%	855000	1334.9999999792371	-2946945.8479888216	310.48890413478597	1.94	9:00:20
342.4%	856000	1336.9999999791899	-2945325.0354888216	310.0847393067288	1.94	8:58:45
342.8%	857000	1338.9999999791426	-2948309.8479888216	309.3233200925635	1.94	8:57:09
343.2%	858000	1340.9999999790953	-2951196.3479888216	310.61552795455526	1.93	8:54:59
343.6%	859000	1342.999999979048	-2945336.0979888216	310.7588372506102	1.93	8:53:35
344.0%	860000	1344.9999999790007	-2947023.3479888216	311.1831948020489	1.94	8:52:08
344.4%	861000	1346.9999999789534	-2949838.4104888216	310.286745018723	1.93	8:50:24
344.8%	862000	1348.999999978906	-2949046.7229888216	309.76464022413626	1.93	8:48:37
345.2%	863000	1350.9999999788588	-2949296.3479888216	309.07931803297055	1.93	8:47:17
345.6%	864000	1352.9999999788115	-2950790.3479888216	310.0529727543607	1.93	8:45:45
346.0%	865000	1354.9999999787642	-2949731.5979888216	310.3105780708347	1.93	8:43:51
346.4%	866000	1356.999999978717	-2948341.9104888216	309.61031794129076	1.93	8:42:23
346.8%	867000	1358.9999999786696	-2951428.3479888216	309.55152919217784	1.93	8:40:45
347.2%	868000	1360.9999999786223	-2950836.7229888216	308.43537577024085	1.93	8:39:09
347.6%	869000	1362.999999978575	-2950472.8479888216	309.6558526612156	1.93	8:37:34
348.0%	870000	1364.9999999785277	-2948721.4104888216	309.49217014235614	1.93	8:35:59
348.4%	871000	1366.9999999784804	-2950886.8479888216	310.37173741088867	1.93	8:34:44
348.8%	872000	1368.9999999784332	-2951980.5354888216	310.7915068507207	1.93	8:33:10
349.2%	873000	1370.9999999783859	-2952824.7854888216	309.53979737519876	1.93	8:31:36
349.6%	874000	1372.9999999783386	-2950339.4104888216	310.65087308341407	1.93	8:30:04
350.0%	875000	1374.9999999782913	-2951189.6604888216	309.6607645821051	1.93	8:28:46
