Loading parameters
Using platform: HIP

Initial system energy
-2956477.5979888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
459.6%	1149000	1970.9999999641977	-2920099.7229888216	310.7168554152947	3.37	22:21:12
460.0%	1150000	1974.9999999641032	-2915095.5354888216	310.9262607880192	3.37	22:21:49
460.4%	1151000	1978.9999999640086	-2912903.1604888216	311.319332146564	3.36	22:16:46
460.8%	1152000	1982.999999963914	-2917098.9729888216	309.8085703228246	3.33	22:01:38
461.2%	1153000	1986.9999999638194	-2917455.4729888216	310.6674531940383	3.3	21:43:49
461.6%	1154000	1990.9999999637248	-2917776.1604888216	309.1987345331246	3.31	21:47:32
462.0%	1155000	1994.9999999636302	-2913339.5979888216	310.0471682331339	3.31	21:43:37
462.4%	1156000	1998.9999999635356	-2916476.2854888216	309.56463513054393	3.28	21:29:21
462.8%	1157000	2002.999999963441	-2915798.1604888216	310.3409125477708	3.28	21:26:34
463.2%	1158000	2006.9999999633465	-2916670.7229888216	309.75708843738255	3.28	21:23:53
463.6%	1159000	2010.9999999632519	-2915545.5979888216	309.58214657133414	3.26	21:12:22
464.0%	1160000	2014.9999999631573	-2918284.1604888216	309.82075793645197	3.21	20:45:32
464.4%	1161000	2018.9999999630627	-2918339.4729888216	310.5900788819865	3.2	20:39:42
464.8%	1162000	2022.999999962968	-2919214.0354888216	310.2585863581891	3.17	20:23:39
465.2%	1163000	2026.9999999628735	-2917462.5979888216	310.8102312084042	3.17	20:20:00
465.6%	1164000	2030.999999962779	-2919477.0979888216	310.8499883401337	3.18	20:25:56
466.0%	1165000	2034.9999999626843	-2918974.6604888216	309.98929704173975	3.2	20:32:36
466.4%	1166000	2038.9999999625898	-2919852.8479888216	311.31832502790246	3.19	20:26:40
466.8%	1167000	2042.9999999624952	-2916999.2854888216	310.90328574317743	3.19	20:26:42
467.2%	1168000	2046.9999999624006	-2918360.2229888216	310.304571277362	3.18	20:18:20
467.6%	1169000	2050.999999962306	-2917130.8479888216	311.0299823035483	3.18	20:12:48
468.0%	1170000	2054.9999999622114	-2918617.0354888216	310.06848786110606	3.17	20:09:50
468.4%	1171000	2058.999999962117	-2919249.1604888216	310.49758182290856	3.18	20:10:13
468.8%	1172000	2062.9999999620222	-2914248.2229888216	309.95169202632707	3.18	20:07:50
469.2%	1173000	2066.9999999619276	-2914188.4729888216	310.0012023834043	3.18	20:07:11
469.6%	1174000	2070.999999961833	-2914697.4729888216	309.80496775680143	3.19	20:10:57
470.0%	1175000	2074.9999999617385	-2915044.3479888216	310.4842486415664	3.19	20:10:14
470.4%	1176000	2078.999999961644	-2915507.4104888216	310.8318261833001	3.18	20:02:28
470.8%	1177000	2082.9999999615493	-2918188.0979888216	310.44961655342024	3.18	20:00:41
471.2%	1178000	2086.9999999614547	-2911511.9104888216	310.97863381679105	3.17	19:53:08
471.6%	1179000	2090.99999996136	-2916280.5979888216	309.77878283590013	3.17	19:53:14
472.0%	1180000	2094.9999999612655	-2913670.9729888216	310.4760268935828	3.17	19:51:42
472.4%	1181000	2098.999999961171	-2913044.0354888216	310.6307505841279	3.16	19:43:34
472.8%	1182000	2102.9999999610764	-2916035.9729888216	311.79509239443576	3.16	19:40:07
473.2%	1183000	2106.9999999609818	-2911600.6604888216	310.13908893148886	3.17	19:42:45
473.6%	1184000	2110.999999960887	-2911357.7229888216	310.20805284608093	3.17	19:44:32
474.0%	1185000	2114.9999999607926	-2913651.8479888216	311.69343973935776	3.17	19:40:49
474.4%	1186000	2118.999999960698	-2914480.1604888216	309.88991059360063	3.17	19:40:23
474.8%	1187000	2122.9999999606034	-2914149.3479888216	310.844294247457	3.17	19:34:50
475.2%	1188000	2126.999999960509	-2912782.3479888216	309.867076592398	3.17	19:36:58
475.6%	1189000	2130.9999999604142	-2911504.9104888216	310.72691688365165	3.18	19:38:26
476.0%	1190000	2134.9999999603197	-2915493.2229888216	310.3878370608286	3.18	19:37:41
476.4%	1191000	2138.999999960225	-2915199.3479888216	310.4966591757996	3.17	19:29:02
476.8%	1192000	2142.9999999601305	-2917658.0979888216	310.3758672397791	3.17	19:26:23
477.2%	1193000	2146.999999960036	-2917041.3479888216	311.10705607114016	3.16	19:19:16
477.6%	1194000	2150.9999999599413	-2913146.0354888216	310.2287199485734	3.16	19:20:44
478.0%	1195000	2154.9999999598467	-2915573.5979888216	310.0218137735105	3.16	19:17:06
478.4%	1196000	2158.999999959752	-2915980.3479888216	310.1194176083813	3.15	19:11:57
478.8%	1197000	2162.9999999596575	-2918123.7229888216	310.996176331194	3.16	19:12:23
479.2%	1198000	2166.999999959563	-2913580.9729888216	310.6070495570063	3.14	19:02:03
479.6%	1199000	2170.9999999594684	-2910834.2229888216	311.1202175821787	3.14	18:58:24
480.0%	1200000	2174.999999959374	-2916702.0979888216	310.43107299800226	3.13	18:53:55
480.4%	1201000	2178.999999959279	-2909626.8479888216	310.40309297826	3.14	18:53:29
480.8%	1202000	2182.9999999591846	-2917903.9104888216	309.50594645749703	3.14	18:54:21
481.2%	1203000	2186.99999995909	-2918500.8479888216	310.1169240468889	3.14	18:52:19
481.6%	1204000	2190.9999999589954	-2915419.7854888216	310.42887627648116	3.13	18:44:20
482.0%	1205000	2194.999999958901	-2917277.0979888216	310.3704978566325	3.12	18:36:00
482.4%	1206000	2198.9999999588063	-2916315.3479888216	309.53775144365676	3.12	18:32:37
482.8%	1207000	2202.9999999587117	-2914389.4104888216	311.34742419308776	3.12	18:33:58
483.2%	1208000	2206.999999958617	-2914099.2854888216	310.2275817969725	3.12	18:33:17
483.6%	1209000	2210.9999999585225	-2915369.7229888216	311.123504268711	3.13	18:33:19
484.0%	1210000	2214.999999958428	-2912652.0979888216	311.3095781436714	3.13	18:34:18
484.4%	1211000	2218.9999999583333	-2917107.2229888216	310.29429732286536	3.14	18:36:41
484.8%	1212000	2222.9999999582387	-2914569.0979888216	309.6958947777916	3.15	18:38:45
485.2%	1213000	2226.999999958144	-2913984.9729888216	310.06090232541936	3.15	18:40:41
485.6%	1214000	2230.9999999580496	-2916172.1604888216	311.08880782557947	3.15	18:39:12
486.0%	1215000	2234.999999957955	-2913806.1604888216	311.2790626386715	3.16	18:39:07
486.4%	1216000	2238.9999999578604	-2913251.5979888216	311.0623309294015	3.15	18:35:31
486.8%	1217000	2242.999999957766	-2915506.2854888216	310.75551706452734	3.16	18:35:29
487.2%	1218000	2246.999999957671	-2913744.7229888216	310.2087833569351	3.16	18:36:49
487.6%	1219000	2250.9999999575766	-2916010.8479888216	310.42192687066284	3.17	18:39:15
488.0%	1220000	2254.999999957482	-2911997.3479888216	311.2499795059237	3.18	18:45:08
488.4%	1221000	2258.9999999573874	-2915536.5979888216	310.0020992603204	3.2	18:50:42
488.8%	1222000	2262.999999957293	-2914360.9104888216	311.28221676646007	3.21	18:54:54
489.2%	1223000	2266.9999999571983	-2918382.2229888216	310.3874377296893	3.22	18:58:30
489.6%	1224000	2270.9999999571037	-2913723.2229888216	309.6600933298249	3.23	19:02:32
490.0%	1225000	2274.999999957009	-2914148.8479888216	310.44009903718717	3.24	19:05:40
490.4%	1226000	2278.9999999569145	-2915755.0979888216	309.29261938240023	3.24	19:05:09
490.8%	1227000	2282.99999995682	-2912903.0979888216	310.3603083805097	3.24	19:03:48
491.2%	1228000	2286.9999999567253	-2913807.3479888216	310.997467858038	3.24	19:01:18
491.6%	1229000	2290.9999999566307	-2917057.6604888216	310.21797584628837	3.25	19:04:48
492.0%	1230000	2294.999999956536	-2914483.0979888216	309.9513432259902	3.26	19:07:57
492.4%	1231000	2298.9999999564416	-2912098.7854888216	310.5685523476449	3.27	19:10:46
492.8%	1232000	2302.999999956347	-2913057.3479888216	310.9949114703799	3.28	19:13:12
493.2%	1233000	2306.9999999562524	-2914991.8479888216	310.22308259618086	3.28	19:14:45
493.6%	1234000	2310.999999956158	-2916325.0354888216	310.02410777556355	3.29	19:15:09
494.0%	1235000	2314.999999956063	-2915656.3479888216	309.9159354919724	3.29	19:14:33
494.4%	1236000	2318.9999999559686	-2913925.8479888216	311.5498095342159	3.29	19:12:53
494.8%	1237000	2322.999999955874	-2915559.5979888216	309.90781868867106	3.29	19:10:24
495.2%	1238000	2326.9999999557795	-2917954.0354888216	310.6734397927592	3.29	19:09:41
495.6%	1239000	2330.999999955685	-2913437.7854888216	309.69109398807586	3.29	19:08:15
496.0%	1240000	2334.9999999555903	-2914833.5354888216	310.0949622503921	3.29	19:05:31
496.4%	1241000	2338.9999999554957	-2915001.9729888216	310.4461379822874	3.28	19:01:05
496.8%	1242000	2342.999999955401	-2914622.3479888216	310.56600015667277	3.27	18:54:09
497.2%	1243000	2346.9999999553065	-2917354.9729888216	310.0182436933726	3.26	18:44:58
497.6%	1244000	2350.999999955212	-2911437.9104888216	309.38479964957656	3.24	18:33:41
498.0%	1245000	2354.9999999551173	-2914490.9104888216	310.0678049080859	3.22	18:20:58
498.4%	1246000	2358.9999999550228	-2912028.6604888216	310.35273750114675	3.19	18:04:20
498.8%	1247000	2362.999999954928	-2911104.0979888216	310.54499771386526	3.17	17:45:42
499.2%	1248000	2366.9999999548336	-2916530.1604888216	310.68409267379946	3.14	17:26:44
499.6%	1249000	2370.999999954739	-2911183.9104888216	309.7481326964011	3.1	17:05:39
500.0%	1250000	2374.9999999546444	-2913388.9104888216	310.46693077392354	3.07	16:44:10
500.4%	1251000	2378.99999995455	-2912333.2854888216	310.71184958254713	3.04	16:20:45
500.8%	1252000	2382.9999999544552	-2915463.4729888216	310.442437424001	3	15:58:38
501.2%	1253000	2386.9999999543606	-2913727.9729888216	311.27394582261087	2.98	15:41:40
501.6%	1254000	2390.999999954266	-2914410.2854888216	309.8787315167707	2.96	15:24:59
502.0%	1255000	2394.9999999541715	-2916777.7229888216	311.16558302503427	2.94	15:08:40
502.4%	1256000	2398.999999954077	-2915103.7229888216	310.95177003748086	2.92	14:53:12
502.8%	1257000	2402.9999999539823	-2913753.0354888216	309.2811351379353	2.89	14:33:05
503.2%	1258000	2406.9999999538877	-2913147.7854888216	310.227590430673	2.86	14:08:14
503.6%	1259000	2410.999999953793	-2909213.3479888216	310.3304757207298	2.82	13:36:44
504.0%	1260000	2414.9999999536985	-2912435.5979888216	310.0093819529739	2.77	12:56:25
504.4%	1261000	2418.999999953604	-2917049.0979888216	310.26953286896963	2.7	12:02:57
504.8%	1262000	2422.9999999535094	-2912609.3479888216	310.21819149259716	2.64	11:10:26
505.2%	1263000	2426.9999999534148	-2913434.4729888216	309.7434914633408	2.6	10:34:09
505.6%	1264000	2430.99999995332	-2911912.8479888216	309.98978604784907	2.57	10:05:55
506.0%	1265000	2434.9999999532256	-2910259.8479888216	310.28482599201095	2.57	10:03:50
506.4%	1266000	2438.999999953131	-2915289.3479888216	309.7942484608869	2.57	10:04:52
506.8%	1267000	2442.9999999530364	-2914326.7229888216	310.5944546472266	2.58	10:07:00
507.2%	1268000	2446.999999952942	-2916537.0979888216	310.7365593256766	2.58	10:09:41
507.6%	1269000	2450.9999999528472	-2913928.2229888216	310.3736875009081	2.59	10:12:22
508.0%	1270000	2454.9999999527527	-2916130.2854888216	310.3714570659278	2.59	10:14:56
508.4%	1271000	2458.999999952658	-2915752.9729888216	310.94450782639143	2.6	10:17:47
508.8%	1272000	2462.9999999525635	-2915838.9104888216	310.5983632444817	2.61	10:20:45
509.2%	1273000	2466.999999952469	-2912201.1604888216	310.51109278371376	2.61	10:23:51
509.6%	1274000	2470.9999999523743	-2914797.5979888216	309.88184432096045	2.62	10:26:35
510.0%	1275000	2474.9999999522797	-2915389.4104888216	310.6182056178586	2.62	10:29:22
510.4%	1276000	2478.999999952185	-2915171.9104888216	310.03190382110415	2.63	10:32:11
510.8%	1277000	2482.9999999520905	-2915948.1604888216	310.7894225658368	2.63	10:34:50
511.2%	1278000	2486.999999951996	-2916514.5979888216	311.4147277118458	2.64	10:37:28
511.6%	1279000	2490.9999999519014	-2914088.5354888216	309.8784851501192	2.65	10:40:11
512.0%	1280000	2494.999999951807	-2914008.9729888216	311.80179555499546	2.65	10:42:44
512.4%	1281000	2498.999999951712	-2914877.2854888216	311.58224354854406	2.66	10:45:18
512.8%	1282000	2502.9999999516176	-2912958.7229888216	309.6688193575722	2.66	10:47:32
513.2%	1283000	2506.999999951523	-2916366.5979888216	310.68334675202397	2.67	10:49:59
513.6%	1284000	2510.9999999514284	-2914190.9104888216	309.95799212449276	2.67	10:52:17
514.0%	1285000	2514.999999951334	-2914100.2854888216	310.63969291518134	2.68	10:54:31
514.4%	1286000	2518.9999999512393	-2911589.5979888216	311.516431726358	2.68	10:56:30
514.8%	1287000	2522.9999999511447	-2914642.9104888216	311.079060092784	2.69	10:58:42
515.2%	1288000	2526.99999995105	-2917793.5979888216	309.2571970957035	2.69	11:00:32
515.6%	1289000	2530.9999999509555	-2916793.6604888216	310.0049695608296	2.7	11:02:27
516.0%	1290000	2534.999999950861	-2914724.7854888216	310.11418501571336	2.7	11:03:54
516.4%	1291000	2538.9999999507663	-2915075.5979888216	311.16281009851383	2.71	11:05:45
516.8%	1292000	2542.9999999506717	-2916495.2229888216	309.10984839950413	2.71	11:07:37
517.2%	1293000	2546.999999950577	-2915507.4729888216	310.30169537491406	2.72	11:09:19
517.6%	1294000	2550.9999999504826	-2912622.1604888216	310.72357987144636	2.72	11:10:45
518.0%	1295000	2554.999999950388	-2915508.8479888216	310.044299116387	2.73	11:12:17
518.4%	1296000	2558.9999999502934	-2914427.3479888216	311.1095095166149	2.73	11:13:43
518.8%	1297000	2562.999999950199	-2914992.2854888216	310.29402225587097	2.74	11:15:05
519.2%	1298000	2566.999999950104	-2918233.3479888216	310.4051339554692	2.74	11:16:20
519.6%	1299000	2570.9999999500096	-2917964.2854888216	310.3759851097893	2.74	11:17:24
520.0%	1300000	2574.999999949915	-2917672.0979888216	309.6202945317683	2.75	11:18:19
520.4%	1301000	2578.9999999498204	-2912560.4104888216	310.5579911825998	2.75	11:19:02
520.8%	1302000	2582.999999949726	-2918282.6604888216	311.27400660896114	2.75	11:20:11
521.2%	1303000	2586.9999999496313	-2914423.9729888216	310.5226709032878	2.76	11:21:14
521.6%	1304000	2590.9999999495367	-2911264.9104888216	309.682318611682	2.76	11:22:02
522.0%	1305000	2594.999999949442	-2912881.5354888216	310.7311407899873	2.77	11:23:00
522.4%	1306000	2598.9999999493475	-2916825.3479888216	310.7013467833521	2.77	11:23:54
522.8%	1307000	2602.999999949253	-2918283.0354888216	311.76903015264696	2.77	11:24:57
523.2%	1308000	2606.9999999491583	-2918494.8479888216	311.2077555235344	2.78	11:25:56
523.6%	1309000	2610.9999999490637	-2916915.5354888216	310.49755343580927	2.78	11:26:44
524.0%	1310000	2614.999999948969	-2916671.7229888216	310.6828857277829	2.78	11:27:11
524.4%	1311000	2618.9999999488746	-2918190.4729888216	310.56279769550275	2.79	11:28:02
524.8%	1312000	2622.99999994878	-2914949.4729888216	310.12363459219426	2.79	11:28:35
525.2%	1313000	2626.9999999486854	-2918407.9729888216	310.86068026836307	2.79	11:29:17
525.6%	1314000	2630.999999948591	-2916734.0979888216	311.0980254894827	2.8	11:29:47
526.0%	1315000	2634.999999948496	-2912523.4104888216	310.91892983202877	2.8	11:30:29
526.4%	1316000	2638.9999999484016	-2916794.4729888216	308.9817241052397	2.81	11:31:08
526.8%	1317000	2642.999999948307	-2913356.2229888216	309.7932079177578	2.81	11:31:49
527.2%	1318000	2646.9999999482125	-2911785.4729888216	310.9284709624241	2.81	11:32:10
527.6%	1319000	2650.999999948118	-2916744.3479888216	310.5082771268071	2.81	11:32:03
528.0%	1320000	2654.9999999480233	-2913543.2229888216	310.58626378234686	2.82	11:32:16
528.4%	1321000	2658.9999999479287	-2915546.3479888216	311.29876392526444	2.82	11:32:08
528.8%	1322000	2662.999999947834	-2918967.6604888216	310.1407446502451	2.82	11:31:56
529.2%	1323000	2666.9999999477395	-2914818.0354888216	310.4992765236049	2.82	11:31:26
529.6%	1324000	2670.999999947645	-2915642.1604888216	309.68011226233057	2.83	11:31:11
530.0%	1325000	2674.9999999475504	-2913945.9104888216	310.41468420705166	2.83	11:30:42
530.4%	1326000	2678.9999999474558	-2915285.0979888216	310.5881628508063	2.83	11:29:55
530.8%	1327000	2682.999999947361	-2913024.2229888216	310.18243391901336	2.83	11:29:39
531.2%	1328000	2686.9999999472666	-2917949.7854888216	310.6724755480623	2.83	11:29:15
531.6%	1329000	2690.999999947172	-2913341.9729888216	311.0186386697255	2.84	11:28:44
532.0%	1330000	2694.9999999470774	-2915314.6604888216	310.5378321945599	2.84	11:28:27
532.4%	1331000	2698.999999946983	-2915464.9104888216	311.2618682372069	2.84	11:28:11
532.8%	1332000	2702.9999999468882	-2915663.9729888216	310.5970935045797	2.84	11:27:30
533.2%	1333000	2706.9999999467937	-2918004.9729888216	310.4782500690178	2.84	11:26:51
533.6%	1334000	2710.999999946699	-2917050.5354888216	310.32919713743206	2.85	11:26:17
534.0%	1335000	2714.9999999466045	-2915349.6604888216	309.9934734941326	2.85	11:25:46
534.4%	1336000	2718.99999994651	-2913967.0354888216	310.102503274463	2.85	11:25:11
534.8%	1337000	2722.9999999464153	-2916997.4729888216	311.337912996467	2.85	11:24:36
535.2%	1338000	2726.9999999463207	-2917223.9104888216	310.7567613918656	2.85	11:23:56
535.6%	1339000	2730.999999946226	-2912814.5979888216	309.8553514302601	2.86	11:23:19
536.0%	1340000	2734.9999999461315	-2912424.3479888216	309.88753466748045	2.86	11:22:49
536.4%	1341000	2738.999999946037	-2915263.7854888216	310.20437032611596	2.86	11:22:08
536.8%	1342000	2742.9999999459424	-2916296.4104888216	310.5879752184467	2.86	11:21:32
537.2%	1343000	2746.999999945848	-2917127.1604888216	310.449123439076	2.86	11:21:05
537.6%	1344000	2750.999999945753	-2914055.0979888216	310.7168681088141	2.86	11:20:24
538.0%	1345000	2754.9999999456586	-2915052.4729888216	310.5467227103059	2.87	11:19:44
538.4%	1346000	2758.999999945564	-2916410.5979888216	310.7457901813002	2.87	11:18:56
538.8%	1347000	2762.9999999454694	-2915932.5979888216	310.5117419905396	2.87	11:18:16
539.2%	1348000	2766.999999945375	-2917975.7229888216	309.9196567195116	2.87	11:17:39
539.6%	1349000	2770.9999999452803	-2915998.0979888216	310.673889433363	2.87	11:16:55
540.0%	1350000	2774.9999999451857	-2917892.9104888216	309.8887733990472	2.88	11:16:14
540.4%	1351000	2778.999999945091	-2915369.2854888216	310.7201657191798	2.88	11:15:37
540.8%	1352000	2782.9999999449965	-2914270.9729888216	309.84022389681047	2.88	11:14:53
541.2%	1353000	2786.999999944902	-2912812.4104888216	310.62801039202	2.88	11:14:03
541.6%	1354000	2790.9999999448073	-2915130.7229888216	310.5335651352916	2.88	11:13:26
542.0%	1355000	2794.9999999447127	-2914382.3479888216	310.1625470544159	2.88	11:12:41
542.4%	1356000	2798.999999944618	-2915500.3479888216	310.1679691700771	2.88	11:11:50
542.8%	1357000	2802.9999999445236	-2918609.9104888216	310.50517595485854	2.89	11:10:59
543.2%	1358000	2806.999999944429	-2918740.9729888216	308.56428772293333	2.89	11:10:18
543.6%	1359000	2810.9999999443344	-2918100.0979888216	311.0371513998404	2.89	11:09:25
544.0%	1360000	2814.99999994424	-2913928.0354888216	309.87698864484037	2.89	11:08:30
544.4%	1361000	2818.999999944145	-2913108.7854888216	309.91519700861363	2.89	11:07:54
544.8%	1362000	2822.9999999440506	-2913674.5354888216	311.58007678502423	2.89	11:07:05
545.2%	1363000	2826.999999943956	-2916797.3479888216	310.5850962299274	2.9	11:06:11
545.6%	1364000	2830.9999999438614	-2917304.9729888216	310.2535641899181	2.9	11:05:29
546.0%	1365000	2834.999999943767	-2914058.2229888216	310.7717183399758	2.9	11:04:47
546.4%	1366000	2838.9999999436723	-2914380.2854888216	310.43033707346683	2.9	11:03:58
546.8%	1367000	2842.9999999435777	-2914573.9729888216	309.9006017210794	2.9	11:03:07
547.2%	1368000	2846.999999943483	-2915366.8479888216	310.7178922871358	2.91	11:03:21
547.6%	1369000	2850.9999999433885	-2915240.5979888216	310.4721105777754	2.91	11:03:29
548.0%	1370000	2854.999999943294	-2915676.5979888216	310.324080731878	2.91	11:03:29
548.4%	1371000	2858.9999999431993	-2912160.3479888216	310.1857521826206	2.91	11:03:10
548.8%	1372000	2862.9999999431047	-2914460.0354888216	309.6340199202775	2.91	11:02:32
549.2%	1373000	2866.99999994301	-2917803.5979888216	310.05207955959224	2.92	11:01:18
549.6%	1374000	2870.9999999429156	-2915458.6604888216	309.75500244715215	2.91	10:58:29
550.0%	1375000	2874.999999942821	-2912402.9729888216	310.59095562950824	2.91	10:55:18
