Loading parameters
Using platform: HIP

Initial system energy
-2956477.5979888216 kJ/mol

MD run: 250000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
450.4%	1126000	1878.9999999663733	-2917676.1604888216	310.3120715803327	0	--
450.8%	1127000	1882.9999999662787	-2917964.5354888216	310.84162369860536	3.03	20:10:58
451.2%	1128000	1886.999999966184	-2919042.5979888216	310.4731614575378	3.13	21:03:34
451.6%	1129000	1890.9999999660895	-2917981.2854888216	310.3696799575035	3.2	21:37:03
452.0%	1130000	1894.999999965995	-2915939.5979888216	309.6522904406286	3.24	21:55:16
452.4%	1131000	1898.9999999659003	-2913376.0979888216	310.9478581094167	3.18	21:25:04
452.8%	1132000	1902.9999999658057	-2915566.9729888216	310.01554584839903	3.29	22:16:35
453.2%	1133000	1906.9999999657111	-2917701.8479888216	310.8902127997163	3.26	21:57:49
453.6%	1134000	1910.9999999656166	-2914974.0979888216	309.83428155773305	3.23	21:41:59
454.0%	1135000	1914.999999965522	-2915455.0354888216	309.56544080646637	3.21	21:32:05
454.4%	1136000	1918.9999999654274	-2918146.7854888216	310.1169449112617	3.23	21:42:05
454.8%	1137000	1922.9999999653328	-2916224.5354888216	311.7894733905015	3.21	21:26:00
455.2%	1138000	1926.9999999652382	-2918952.5979888216	310.0628916039421	3.22	21:32:30
455.6%	1139000	1930.9999999651436	-2917318.1604888216	310.95635541477475	3.26	21:51:32
456.0%	1140000	1934.999999965049	-2914215.9104888216	310.4552141184512	3.28	21:54:43
456.4%	1141000	1938.9999999649544	-2912982.5979888216	311.01790920552463	3.31	22:10:05
456.8%	1142000	1942.9999999648599	-2914861.2229888216	310.62603406012835	3.34	22:21:57
457.2%	1143000	1946.9999999647653	-2915322.5979888216	310.04951579741225	3.36	22:28:04
457.6%	1144000	1950.9999999646707	-2914640.9729888216	309.9408495598015	3.37	22:34:00
458.0%	1145000	1954.999999964576	-2912386.0354888216	309.7682134608576	3.4	22:45:44
458.4%	1146000	1958.9999999644815	-2915665.4104888216	309.94842038587814	3.41	22:45:17
458.8%	1147000	1962.999999964387	-2915897.5354888216	309.7256391844304	3.39	22:36:27
459.2%	1148000	1966.9999999642923	-2911934.9104888216	311.051476659501	3.39	22:35:57
