frame,time_ns,box_x,box_y,box_z,prot_xmin,prot_xmax,prot_ymin,prot_ymax,prot_zmin,prot_zmax,extent_x,extent_y,extent_z,clearance_x,clearance_y,clearance_z,min_clearance,membrane_top_z,membrane_bot_z
0,0.0,122.53,122.53,176.27,29.05,117.97,37.09,106.29,-11.25,115.16,88.92,69.2,126.41,33.61,53.33,49.87,33.61,104.18,66.98
1,0.1,122.48,122.48,176.24,29.52,115.65,39.23,106.14,-18.12,114.8,86.13,66.91,132.92,36.35,55.57,43.32,36.35,104.18,66.95
2,0.2,122.41,122.41,176.36,27.69,116.11,36.82,104.92,-17.63,116.58,88.42,68.1,134.21,33.99,54.31,42.15,33.99,104.22,66.92
3,0.30000000000000004,122.43,122.43,176.46,27.37,115.15,38.35,104.66,-13.55,117.21,87.79,66.31,130.76,34.64,56.12,45.7,34.64,104.36,66.82
4,0.4,122.38,122.38,176.55,26.96,114.29,38.12,101.9,-14.41,116.24,87.32,63.78,130.65,35.06,58.6,45.9,35.06,104.57,66.92
5,0.5,122.34,122.34,176.54,24.03,113.93,39.07,103.61,-11.9,117.1,89.9,64.54,129.0,32.44,57.79,47.55,32.44,104.45,66.89
6,0.6000000000000001,122.3,122.3,176.66,23.42,114.53,40.6,103.82,-17.3,118.52,91.1,63.22,135.82,31.19,59.08,40.83,31.19,104.6,67.01
7,0.7000000000000001,122.26,122.26,176.83,25.14,114.98,39.45,106.76,-12.94,116.13,89.85,67.32,129.06,32.41,54.94,47.76,32.41,104.8,67.01
8,0.8,122.25,122.25,176.9,24.16,115.28,39.08,106.05,-10.6,116.77,91.12,66.97,127.37,31.12,55.27,49.53,31.12,104.74,66.98
9,0.9,122.2,122.2,176.99,23.88,114.18,37.87,106.13,-8.56,118.4,90.3,68.26,126.96,31.91,53.94,50.04,31.91,104.78,67.15
10,1.0,122.21,122.21,176.88,23.51,112.71,37.86,104.24,-6.89,115.91,89.21,66.38,122.8,33.0,55.83,54.09,33.0,104.67,67.11
11,1.1,122.19,122.19,176.97,23.33,114.65,40.1,104.87,-5.89,115.56,91.32,64.76,121.45,30.86,57.42,55.52,30.86,104.78,67.13
12,1.2000000000000002,122.1,122.1,177.09,23.72,113.42,39.33,106.48,-7.34,116.07,89.7,67.15,123.41,32.4,54.95,53.68,32.4,104.8,67.18
13,1.3,122.06,122.06,177.29,22.28,115.01,38.95,107.97,-2.61,117.74,92.73,69.03,120.35,29.33,53.03,56.95,29.33,104.7,67.42
14,1.4000000000000001,121.97,121.97,177.67,21.77,113.63,38.81,106.49,-7.72,116.9,91.86,67.68,124.61,30.1,54.29,53.06,30.1,104.9,67.64
15,1.5,121.99,121.99,177.88,21.65,112.74,37.45,102.6,-6.91,116.21,91.09,65.15,123.11,30.9,56.85,54.77,30.9,105.18,67.48
16,1.6,121.95,121.95,177.93,23.67,113.05,37.2,104.32,-4.42,116.83,89.37,67.11,121.25,32.57,54.83,56.68,32.57,105.33,67.43
17,1.7000000000000002,121.81,121.81,177.84,24.43,112.64,37.94,104.15,-4.07,117.07,88.21,66.22,121.13,33.6,55.59,56.71,33.6,105.41,67.34
18,1.8,121.72,121.72,177.91,23.39,113.5,38.43,102.09,-2.64,116.18,90.11,63.65,118.82,31.61,58.07,59.08,31.61,105.35,67.32
19,1.9000000000000001,121.68,121.68,178.3,23.45,112.34,37.25,103.34,-3.87,116.47,88.89,66.09,120.34,32.79,55.59,57.96,32.79,105.65,67.6
20,2.0,121.65,121.65,178.28,23.12,112.54,37.47,102.28,-4.58,117.32,89.42,64.81,121.9,32.24,56.84,56.38,32.24,105.58,67.59
21,2.1,121.66,121.66,178.38,22.31,112.89,37.25,104.9,-4.7,117.65,90.58,67.65,122.35,31.09,54.01,56.03,31.09,105.7,67.64
22,2.2,121.63,121.63,178.65,22.71,113.54,37.03,104.74,-5.04,117.92,90.83,67.71,122.96,30.79,53.92,55.69,30.79,105.78,67.72
23,2.3000000000000003,121.62,121.62,178.61,25.56,113.66,39.05,103.87,-3.07,117.36,88.1,64.83,120.43,33.53,56.8,58.18,33.53,105.75,67.61
24,2.4000000000000004,121.57,121.57,178.74,25.4,114.6,38.02,102.4,-2.65,117.7,89.2,64.38,120.35,32.37,57.19,58.39,32.37,105.89,67.69
25,2.5,121.64,121.64,178.51,25.69,114.92,37.75,103.42,-3.11,117.09,89.24,65.67,120.2,32.41,55.97,58.3,32.41,105.62,67.49
26,2.6,121.7,121.7,178.33,26.07,114.66,38.13,102.68,-5.2,116.26,88.59,64.55,121.46,33.11,57.15,56.87,33.11,105.5,67.54
27,2.7,121.62,121.62,178.7,23.29,113.6,37.13,101.53,-6.96,117.46,90.31,64.41,124.42,31.31,57.21,54.28,31.31,105.79,67.65
28,2.8000000000000003,121.69,121.69,178.37,25.03,112.48,38.61,104.75,-6.42,116.1,87.45,66.14,122.51,34.23,55.54,55.86,34.23,105.43,67.58
29,2.9000000000000004,121.7,121.7,178.34,24.8,112.14,38.43,103.1,-7.15,116.88,87.34,64.66,124.02,34.36,57.04,54.31,34.36,105.49,67.69
30,3.0,121.61,121.61,178.39,24.36,111.49,38.32,101.76,-9.3,117.16,87.13,63.44,126.46,34.48,58.18,51.94,34.48,105.53,67.61
31,3.1,121.74,121.74,178.27,23.32,114.18,38.27,101.48,-9.59,116.19,90.86,63.21,125.78,30.88,58.53,52.49,30.88,105.42,67.63
32,3.2,121.97,121.97,178.12,24.25,112.98,39.82,104.63,-8.3,116.01,88.73,64.8,124.32,33.24,57.16,53.8,33.24,105.34,67.43
33,3.3000000000000003,121.79,121.79,178.02,24.46,113.91,39.0,103.21,-6.53,116.16,89.45,64.21,122.7,32.35,57.58,55.32,32.35,105.38,67.34
34,3.4000000000000004,121.88,121.88,177.91,24.25,113.18,38.58,101.18,-8.3,116.5,88.92,62.6,124.8,32.96,59.28,53.11,32.96,105.26,67.37
35,3.5,121.78,121.78,178.14,23.44,112.69,37.83,103.98,-12.16,115.78,89.25,66.15,127.94,32.52,55.63,50.2,32.52,105.52,67.34
36,3.6,121.58,121.58,178.67,24.59,114.74,38.6,105.43,-14.01,116.26,90.16,66.83,130.27,31.43,54.76,48.41,31.43,105.88,67.65
37,3.7,121.7,121.7,178.44,24.37,113.39,37.85,107.63,-9.93,116.3,89.02,69.78,126.22,32.67,51.92,52.22,32.67,105.73,67.55
38,3.8000000000000003,121.5,121.5,178.87,22.94,114.08,37.31,104.85,-7.06,116.69,91.14,67.53,123.75,30.36,53.96,55.13,30.36,105.87,67.85
39,3.9000000000000004,121.45,121.45,178.99,23.72,110.95,36.66,104.63,-5.85,115.84,87.23,67.97,121.69,34.22,53.48,57.31,34.22,105.89,67.8
