frame,time_ns,box_x,box_y,box_z,prot_xmin,prot_xmax,prot_ymin,prot_ymax,prot_zmin,prot_zmax,extent_x,extent_y,extent_z,clearance_x,clearance_y,clearance_z,min_clearance,membrane_top_z,membrane_bot_z
40,4.0,121.5,121.5,178.93,25.31,112.54,37.28,104.6,-7.27,117.38,87.23,67.32,124.65,34.28,54.18,54.28,34.28,105.82,67.83
41,4.1000000000000005,121.47,121.47,179.0,23.96,111.86,38.93,103.81,-6.33,116.72,87.9,64.88,123.05,33.58,56.59,55.95,33.58,105.87,67.84
42,4.2,121.5,121.5,179.11,24.56,112.1,38.68,104.68,-6.73,118.5,87.54,66.01,125.24,33.96,55.49,53.88,33.96,105.83,67.99
43,4.3,121.4,121.4,179.21,24.28,113.93,40.08,101.31,-7.58,118.46,89.65,61.24,126.04,31.75,60.16,53.17,31.75,106.01,67.81
44,4.4,121.38,121.38,179.63,24.52,114.47,37.67,101.99,-5.67,117.77,89.95,64.33,123.45,31.43,57.05,56.18,31.43,106.1,68.05
45,4.5,121.02,121.02,180.37,24.34,113.5,39.31,100.86,-5.59,118.5,89.16,61.54,124.09,31.86,59.48,56.28,31.86,106.64,68.32
46,4.6000000000000005,120.9,120.9,180.49,24.35,113.75,37.02,101.15,-5.42,116.97,89.41,64.13,122.39,31.49,56.78,58.1,31.49,106.79,68.35
47,4.7,120.87,120.87,180.64,23.5,114.29,36.93,101.14,-2.9,118.58,90.79,64.2,121.48,30.08,56.66,59.16,30.08,107.0,68.36
48,4.800000000000001,120.76,120.76,181.2,25.18,113.95,35.65,101.47,-4.91,117.55,88.77,65.82,122.46,31.99,54.94,58.74,31.99,107.22,68.76
49,4.9,120.68,120.68,181.4,25.19,115.21,36.46,101.8,-5.4,118.02,90.03,65.35,123.42,30.66,55.34,57.98,30.66,107.22,68.73
50,5.0,120.68,120.68,181.34,26.62,114.66,35.92,104.32,-3.8,118.27,88.03,68.4,122.08,32.65,52.28,59.26,32.65,107.03,68.8
51,5.1000000000000005,120.73,120.73,181.18,25.85,115.2,37.07,103.4,-4.55,117.49,89.36,66.33,122.04,31.37,54.4,59.13,31.37,107.07,68.52
52,5.2,120.77,120.77,181.1,25.72,115.21,37.16,104.14,-8.02,117.07,89.49,66.98,125.09,31.28,53.79,56.01,31.28,107.11,68.56
53,5.300000000000001,120.67,120.67,181.32,25.31,114.5,37.23,104.55,-8.26,117.92,89.19,67.32,126.18,31.48,53.35,55.15,31.48,107.16,68.63
54,5.4,120.62,120.62,181.36,25.15,114.25,36.29,103.79,-6.72,117.89,89.1,67.49,124.6,31.52,53.12,56.76,31.52,107.07,68.7
55,5.5,120.6,120.6,181.58,24.54,114.83,35.66,100.4,-6.1,118.06,90.29,64.73,124.16,30.3,55.86,57.42,30.3,107.19,68.88
56,5.6000000000000005,120.57,120.57,181.66,25.0,115.34,37.56,98.21,-5.76,118.04,90.34,60.64,123.8,30.23,59.93,57.86,30.23,107.35,68.89
57,5.7,120.5,120.5,182.22,26.06,114.65,36.97,101.15,-7.74,117.94,88.59,64.18,125.68,31.91,56.32,56.54,31.91,107.79,69.07
58,5.800000000000001,120.37,120.37,182.21,24.88,114.46,36.88,100.41,-8.24,117.69,89.58,63.52,125.93,30.78,56.84,56.28,30.78,107.85,68.98
59,5.9,120.34,120.34,182.27,23.01,113.47,37.37,102.49,-8.47,117.85,90.46,65.12,126.32,29.88,55.22,55.95,29.88,107.89,68.94
60,6.0,120.37,120.37,182.27,20.54,113.91,37.29,102.78,-9.49,117.42,93.37,65.49,126.91,27.01,54.88,55.36,27.01,107.82,69.02
61,6.1000000000000005,120.31,120.31,182.26,23.09,113.34,36.29,100.17,-7.32,118.75,90.25,63.88,126.07,30.06,56.43,56.19,30.06,107.82,68.96
62,6.2,120.43,120.43,182.23,22.49,114.02,34.93,101.17,-6.56,117.69,91.52,66.24,124.26,28.91,54.19,57.97,28.91,107.69,69.0
63,6.300000000000001,120.42,120.42,182.28,23.8,113.74,36.52,102.41,-5.49,119.05,89.94,65.89,124.54,30.48,54.54,57.75,30.48,107.69,68.99
64,6.4,120.38,120.38,182.22,24.27,114.04,37.84,101.75,-6.89,119.11,89.77,63.91,126.0,30.61,56.47,56.23,30.61,107.83,68.94
65,6.5,120.35,120.35,182.32,24.88,113.76,36.59,97.89,-8.51,120.0,88.88,61.3,128.51,31.47,59.05,53.81,31.47,107.95,68.85
66,6.6000000000000005,120.44,120.44,182.21,22.78,113.79,36.41,96.93,-8.08,120.07,91.01,60.52,128.15,29.43,59.92,54.06,29.43,107.76,68.93
67,6.7,120.15,120.15,182.74,20.48,113.04,34.77,99.23,-10.11,120.46,92.57,64.46,130.58,27.59,55.69,52.16,27.59,108.1,69.19
68,6.800000000000001,120.14,120.14,182.82,20.16,112.59,34.2,97.52,-6.78,119.98,92.43,63.32,126.76,27.71,56.82,56.06,27.71,108.15,69.18
69,6.9,120.14,120.14,183.01,20.9,114.14,36.26,98.28,-8.37,120.71,93.24,62.02,129.08,26.9,58.13,53.92,26.9,108.3,69.14
70,7.0,120.13,120.13,183.03,20.8,114.57,35.84,98.17,-6.03,119.94,93.77,62.34,125.97,26.36,57.79,57.06,26.36,108.14,69.08
71,7.1000000000000005,120.16,120.16,183.06,22.61,115.01,36.42,98.38,-5.56,119.88,92.4,61.96,125.44,27.76,58.2,57.61,27.76,108.21,69.13
72,7.2,120.13,120.13,182.95,23.55,113.41,36.68,95.95,-9.57,120.63,89.86,59.27,130.2,30.27,60.86,52.75,30.27,108.14,69.16
73,7.300000000000001,120.0,120.0,183.28,22.83,113.78,36.32,97.54,-9.86,119.35,90.94,61.22,129.21,29.05,58.78,54.07,29.05,108.45,69.26
74,7.4,120.03,120.03,183.43,20.5,114.41,37.25,97.75,-5.2,118.75,93.91,60.5,123.94,26.11,59.53,59.49,26.11,108.53,69.4
75,7.5,120.08,120.08,183.39,21.53,114.3,37.55,98.06,-4.58,119.84,92.77,60.51,124.43,27.31,59.56,58.96,27.31,108.32,69.36
76,7.6000000000000005,120.07,120.07,183.31,20.79,113.75,35.3,97.45,-4.21,118.38,92.96,62.15,122.59,27.11,57.92,60.72,27.11,108.42,69.38
77,7.7,119.76,119.76,183.83,21.2,114.04,35.82,98.41,-4.77,120.13,92.84,62.59,124.9,26.92,57.17,58.94,26.92,108.62,69.76
78,7.800000000000001,119.7,119.7,184.21,21.25,114.73,35.13,97.9,-5.39,120.24,93.48,62.76,125.63,26.22,56.94,58.58,26.22,108.93,69.9
79,7.9,119.88,119.88,183.95,22.47,114.12,36.71,98.38,-6.24,119.51,91.64,61.67,125.75,28.24,58.21,58.2,28.24,108.81,69.77
80,8.0,119.94,119.94,183.88,23.69,112.12,35.79,98.04,-3.81,119.86,88.42,62.25,123.67,31.52,57.69,60.21,31.52,108.86,69.73
81,8.1,119.89,119.89,183.81,21.15,112.47,34.05,95.31,-2.29,119.62,91.32,61.27,121.9,28.58,58.63,61.91,28.58,108.77,69.55
82,8.200000000000001,119.81,119.81,183.89,22.85,114.25,34.09,96.62,-4.03,119.93,91.4,62.53,123.96,28.41,57.28,59.94,28.41,108.8,69.67
83,8.3,119.85,119.85,183.89,22.74,113.89,33.41,95.15,-5.71,119.39,91.15,61.74,125.09,28.7,58.11,58.8,28.7,108.89,69.72
84,8.4,119.82,119.82,184.01,23.02,115.4,33.96,96.92,-6.88,119.88,92.37,62.97,126.76,27.45,56.86,57.25,27.45,108.92,69.7
85,8.5,119.78,119.78,183.9,22.24,113.87,33.51,96.07,-5.63,119.19,91.62,62.56,124.83,28.16,57.22,59.08,28.16,108.84,69.75
86,8.6,119.84,119.84,184.0,22.04,112.89,34.2,96.56,-8.28,119.62,90.85,62.36,127.89,28.99,57.48,56.11,28.99,108.94,69.82
87,8.700000000000001,119.9,119.9,183.96,21.32,114.31,33.67,96.37,-9.38,120.51,92.99,62.7,129.89,26.91,57.2,54.07,26.91,108.8,69.8
88,8.8,119.67,119.67,183.91,22.35,114.14,34.03,96.37,-7.6,121.05,91.79,62.34,128.65,27.88,57.33,55.26,27.88,108.75,69.7
89,8.9,119.91,119.91,183.8,23.95,115.53,32.1,96.97,-5.47,119.04,91.58,64.87,124.5,28.32,55.03,59.3,28.32,108.66,69.73
90,9.0,119.87,119.87,183.8,25.32,114.89,31.94,95.14,-6.56,119.9,89.57,63.19,126.46,30.3,56.67,57.34,30.3,108.53,69.68
91,9.1,119.88,119.88,183.87,25.11,112.99,34.77,96.58,-6.81,120.69,87.88,61.81,127.5,32.0,58.07,56.37,32.0,108.7,69.71
92,9.200000000000001,119.77,119.77,184.16,23.49,113.93,34.8,94.01,-4.75,119.98,90.45,59.21,124.73,29.33,60.56,59.44,29.33,108.89,69.8
93,9.3,119.71,119.71,184.33,24.78,114.68,34.96,94.16,-6.75,120.1,89.9,59.2,126.85,29.81,60.52,57.48,29.81,109.01,69.8
94,9.4,119.6,119.6,184.58,22.94,113.11,32.89,94.45,-7.78,120.53,90.17,61.56,128.31,29.43,58.04,56.26,29.43,109.17,69.91
95,9.5,119.59,119.59,184.7,23.07,112.16,33.16,94.72,-7.17,119.55,89.09,61.56,126.72,30.5,58.03,57.98,30.5,109.26,70.11
96,9.600000000000001,119.56,119.56,184.67,24.4,113.98,34.97,95.09,-8.55,118.76,89.58,60.12,127.32,29.98,59.44,57.35,29.98,109.24,69.91
97,9.700000000000001,119.61,119.61,184.67,23.79,113.47,34.52,95.16,-8.11,119.05,89.68,60.64,127.16,29.93,58.97,57.51,29.93,109.17,70.03
98,9.8,119.65,119.65,184.67,25.47,113.31,35.59,94.95,-6.85,118.85,87.84,59.35,125.7,31.82,60.3,58.97,31.82,109.19,69.82
99,9.9,119.5,119.5,184.85,24.55,113.76,35.16,95.65,-4.33,119.48,89.2,60.49,123.8,30.3,59.01,61.05,30.3,109.31,70.0
